municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Ourém,dados_ourem__anos_de_estudo_media,Anos de Estudo (Média),dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.16851525279255652,2030,8.036360326572579
Ourém,dados_ourem__anos_de_estudo_media,Anos de Estudo (Média),dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.16851525279255652,2040,9.731837967358832
Ourém,dados_ourem__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_ourem,Grupo 1 — 4 censos,logistic,lbfgs,True,11.3492969997152,2030,114.1550218787796
Ourém,dados_ourem__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_ourem,Grupo 1 — 4 censos,logistic,lbfgs,True,11.3492969997152,2040,110.70748393458291
Ourém,dados_ourem__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_ourem,Grupo 1 — 4 censos,relu,adam,True,0.3135988093296399,2030,6.3227475597549985
Ourém,dados_ourem__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_ourem,Grupo 1 — 4 censos,relu,adam,True,0.3135988093296399,2040,7.180353037459573
Ourém,dados_ourem__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.1550449571340951,2030,7.4519456444278
Ourém,dados_ourem__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.1550449571340951,2040,9.050753376064177
Ourém,dados_ourem__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.18198555009036144,2030,8.620775003560066
Ourém,dados_ourem__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.18198555009036144,2040,10.412922556765293
Ourém,dados_ourem__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.07040688451055888,2030,2.4665958161118633
Ourém,dados_ourem__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_ourem,Grupo 1 — 4 censos,identity,lbfgs,True,0.07040688451055888,2040,1.679638341539285
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,identity,adam,True,0.3187070273467332,2030,19.14000723718326
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,identity,adam,True,0.3187070273467332,2040,20.606356277765286
Ourém,dados_ourem__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_ourem,Grupo 1 — 4 censos,logistic,lbfgs,True,4.50469939166172,2030,85.87368671261851
Ourém,dados_ourem__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_ourem,Grupo 1 — 4 censos,logistic,lbfgs,True,4.50469939166172,2040,87.93142065452138
Ourém,dados_ourem__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_ourem,Grupo 1 — 4 censos,relu,adam,True,0.30383547302320446,2030,6.445139302755632
Ourém,dados_ourem__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_ourem,Grupo 1 — 4 censos,relu,adam,True,0.30383547302320446,2040,7.3002597958571815
Ourém,dados_ourem__2_trabalhos,2 trabalhos,dados_ourem,Grupo 2 — 3 censos,relu,lbfgs,True,0.8311393079809767,2030,7.484163420786433
Ourém,dados_ourem__2_trabalhos,2 trabalhos,dados_ourem,Grupo 2 — 3 censos,relu,lbfgs,True,0.8311393079809767,2040,8.794185420261087
Ourém,dados_ourem__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2030,0.6345907702241325
Ourém,dados_ourem__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2040,0.6341654432015779
Ourém,dados_ourem__apenas_1_trabalho,Apenas 1 trabalho,dados_ourem,Grupo 2 — 3 censos,relu,lbfgs,True,0.7823795679739476,2030,91.1567250630477
Ourém,dados_ourem__apenas_1_trabalho,Apenas 1 trabalho,dados_ourem,Grupo 2 — 3 censos,relu,lbfgs,True,0.7823795679739476,2040,89.05466174106918
Ourém,dados_ourem__casais_com_filhos,Casais com filhos,dados_ourem,Grupo 2 — 3 censos,identity,lbfgs,True,2.943713856334097,2030,40.571480567147916
Ourém,dados_ourem__casais_com_filhos,Casais com filhos,dados_ourem,Grupo 2 — 3 censos,identity,lbfgs,True,2.943713856334097,2040,30.57417580606793
Ourém,dados_ourem__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.3360320737264478,2030,8.16819763601095
Ourém,dados_ourem__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.3360320737264478,2040,8.166983373481925
Ourém,dados_ourem__casais_sem_filhos,Casais sem filhos,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.5790180133225492,2030,14.12965720783112
Ourém,dados_ourem__casais_sem_filhos,Casais sem filhos,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.5790180133225492,2040,17.172945085425074
Ourém,dados_ourem__conta_propria,Conta própria,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.37485618178078123,2030,4.464824883999919
Ourém,dados_ourem__conta_propria,Conta própria,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.37485618178078123,2040,4.756744912365922
Ourém,dados_ourem__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.3944717987270459,2030,23.342638451908485
Ourém,dados_ourem__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.3944717987270459,2040,27.68274897805368
Ourém,dados_ourem__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.2313630211114994,2030,26.083774263551213
Ourém,dados_ourem__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.2313630211114994,2040,30.411252837134793
Ourém,dados_ourem__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_ourem,Grupo 2 — 3 censos,identity,lbfgs,True,0.5948357030382164,2030,12.36393102812027
Ourém,dados_ourem__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_ourem,Grupo 2 — 3 censos,identity,lbfgs,True,0.5948357030382164,2040,-2.1717558651591915
Ourém,dados_ourem__empregador,Empregador,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,33.44930604037477,2030,395.3056372083604
Ourém,dados_ourem__empregador,Empregador,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,33.44930604037477,2040,494.4021268458672
Ourém,dados_ourem__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_ourem,Grupo 2 — 3 censos,relu,adam,True,6.1398643429898625,2030,94.61826084184797
Ourém,dados_ourem__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_ourem,Grupo 2 — 3 censos,relu,adam,True,6.1398643429898625,2040,97.4817558594849
Ourém,dados_ourem__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_ourem,Grupo 2 — 3 censos,relu,adam,True,4.682665488681295,2030,69.17723492399787
Ourém,dados_ourem__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_ourem,Grupo 2 — 3 censos,relu,adam,True,4.682665488681295,2040,74.5980656615088
Ourém,dados_ourem__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.1856545388564328,2030,22.057058430829034
Ourém,dados_ourem__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.1856545388564328,2040,26.61152481112341
Ourém,dados_ourem__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.054402082804384744,2030,0.8322899564520216
Ourém,dados_ourem__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.054402082804384744,2040,1.019591418432864
Ourém,dados_ourem__idade_mediana,Idade Mediana,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2030,34.46879368938008
Ourém,dados_ourem__idade_mediana,Idade Mediana,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2040,39.011896464596354
Ourém,dados_ourem__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_ourem,Grupo 2 — 3 censos,identity,sgd,True,3.037080823305691,2030,116.8974426752009
Ourém,dados_ourem__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_ourem,Grupo 2 — 3 censos,identity,sgd,True,3.037080823305691,2040,150.27820913983348
Ourém,dados_ourem__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.7052206709557556,2030,23.5586010544975
Ourém,dados_ourem__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,1.7052206709557556,2040,27.392072937204205
Ourém,dados_ourem__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.5555711189606525,2030,4.850405544025808
Ourém,dados_ourem__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.5555711189606525,2040,4.913263740620001
Ourém,dados_ourem__media_populacao_amarela,Média: População Amarela,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.6323033957767855,2030,7.876083142587682
Ourém,dados_ourem__media_populacao_amarela,Média: População Amarela,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.6323033957767855,2040,8.827407408733674
Ourém,dados_ourem__media_populacao_branca,Média: População Branca,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.5473163585856735,2030,8.50450235158244
Ourém,dados_ourem__media_populacao_branca,Média: População Branca,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.5473163585856735,2040,10.261862841720133
Ourém,dados_ourem__media_populacao_indigena,Média: População Indígena,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.16698310165183913,2030,6.323058048423072
Ourém,dados_ourem__media_populacao_indigena,Média: População Indígena,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.16698310165183913,2040,7.8144795750868274
Ourém,dados_ourem__media_populacao_preta_parda,Média: População Preta / Parda,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.3647458581154301,2030,7.801222022384139
Ourém,dados_ourem__media_populacao_preta_parda,Média: População Preta / Parda,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.3647458581154301,2040,9.470717025602436
Ourém,dados_ourem__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,372.2480282755054,2030,376.81073177938896
Ourém,dados_ourem__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,372.2480282755054,2040,375.69081179282085
Ourém,dados_ourem__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.0607690239734023,2030,4.199914609435301
Ourém,dados_ourem__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.0607690239734023,2040,4.56115886505405
Ourém,dados_ourem__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.1827022147452595,2030,2.3955643986961603
Ourém,dados_ourem__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_ourem,Grupo 2 — 3 censos,identity,adam,True,0.1827022147452595,2040,2.806293528986165
Ourém,dados_ourem__populacao_amarela,População Amarela,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,7.847831434165902,2030,14.29032329613116
Ourém,dados_ourem__populacao_amarela,População Amarela,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,7.847831434165902,2040,4.654310470178949
Ourém,dados_ourem__populacao_branca,População Branca,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.2232096193478307,2030,2.9871433598579493
Ourém,dados_ourem__populacao_branca,População Branca,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,0.2232096193478307,2040,2.9862772052013473
Ourém,dados_ourem__populacao_indigena,População Indígena,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,20.318773423554305,2030,99.71109538887961
Ourém,dados_ourem__populacao_indigena,População Indígena,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,20.318773423554305,2040,99.6322236736327
Ourém,dados_ourem__populacao_indigena_total,População Indígena Total,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,20.318773423554305,2030,99.71109538887961
Ourém,dados_ourem__populacao_indigena_total,População Indígena Total,dados_ourem,Grupo 2 — 3 censos,logistic,sgd,True,20.318773423554305,2040,99.6322236736327
Ourém,dados_ourem__populacao_parda,População Parda,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.5037742766538263,2030,14.279294783210661
Ourém,dados_ourem__populacao_parda,População Parda,dados_ourem,Grupo 2 — 3 censos,relu,adam,True,0.5037742766538263,2040,15.086720531526941
Ourém,dados_ourem__populacao_preta,População Preta,dados_ourem,Grupo 2 — 3 censos,tanh,adam,True,539.4656564301785,2030,-5.594460700821628
Ourém,dados_ourem__populacao_preta,População Preta,dados_ourem,Grupo 2 — 3 censos,tanh,adam,True,539.4656564301785,2040,22.851649943271184
Ourém,dados_ourem__populacao_rural,População Rural,dados_ourem,Grupo 2 — 3 censos,tanh,adam,True,0.12968958158535346,2030,8.070109998201865
