municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Pacajá,dados_pacaja__anos_de_estudo_media,Anos de Estudo (Média),dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,0.21253352747522508,2030,7.380515422419992
Pacajá,dados_pacaja__anos_de_estudo_media,Anos de Estudo (Média),dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,0.21253352747522508,2040,7.670365045632747
Pacajá,dados_pacaja__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,5.886533735665168,2030,260.2922947818192
Pacajá,dados_pacaja__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,5.886533735665168,2040,283.2153669851284
Pacajá,dados_pacaja__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,0.39139683687402915,2030,13.205476570773655
Pacajá,dados_pacaja__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,0.39139683687402915,2040,14.869500172903983
Pacajá,dados_pacaja__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,0.2549855854146502,2030,7.482711078065114
Pacajá,dados_pacaja__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_pacaja,Grupo 1 — 4 censos,relu,adam,True,0.2549855854146502,2040,8.523924437262156
Pacajá,dados_pacaja__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_pacaja,Grupo 1 — 4 censos,identity,adam,True,0.321607546635553,2030,8.86194236180943
Pacajá,dados_pacaja__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_pacaja,Grupo 1 — 4 censos,identity,adam,True,0.321607546635553,2040,10.646636996362925
Pacajá,dados_pacaja__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_pacaja,Grupo 1 — 4 censos,relu,lbfgs,True,0.05626275547819071,2030,2.908891131341032
Pacajá,dados_pacaja__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_pacaja,Grupo 1 — 4 censos,relu,lbfgs,True,0.05626275547819071,2040,2.1654909533262168
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,logistic,adam,True,2.5071351354538773,2030,44.306645266557034
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,logistic,adam,True,2.5071351354538773,2040,45.39237274156008
Pacajá,dados_pacaja__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,3.6347993365130336,2030,85.70637892658614
Pacajá,dados_pacaja__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,3.6347993365130336,2040,86.90553792420154
Pacajá,dados_pacaja__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,0.355212531922805,2030,12.67541550591167
Pacajá,dados_pacaja__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_pacaja,Grupo 1 — 4 censos,logistic,lbfgs,True,0.355212531922805,2040,13.103915412565632
Pacajá,dados_pacaja__2_trabalhos,2 trabalhos,dados_pacaja,Grupo 2 — 3 censos,relu,sgd,True,1.1933738026695238,2030,8.350014421505474
Pacajá,dados_pacaja__2_trabalhos,2 trabalhos,dados_pacaja,Grupo 2 — 3 censos,relu,sgd,True,1.1933738026695238,2040,9.659880209005408
Pacajá,dados_pacaja__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pacaja,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2030,0.6345907702241325
