municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Paragominas,dados_paragominas__anos_de_estudo_media,Anos de Estudo (Média),dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.1819855500903621,2030,10.620775003560066
Paragominas,dados_paragominas__anos_de_estudo_media,Anos de Estudo (Média),dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.1819855500903621,2040,12.412922556765293
Paragominas,dados_paragominas__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_paragominas,Grupo 1 — 4 censos,tanh,lbfgs,True,12.252002744269596,2030,301.52947210324317
Paragominas,dados_paragominas__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_paragominas,Grupo 1 — 4 censos,tanh,lbfgs,True,12.252002744269596,2040,301.4348100232128
Paragominas,dados_paragominas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_paragominas,Grupo 1 — 4 censos,relu,adam,True,1.9276232090241954,2030,43.25924786258052
Paragominas,dados_paragominas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_paragominas,Grupo 1 — 4 censos,relu,adam,True,1.9276232090241954,2040,49.497404895193256
Paragominas,dados_paragominas__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.15274162504325495,2030,10.177464558219928
Paragominas,dados_paragominas__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.15274162504325495,2040,11.931131695510125
Paragominas,dados_paragominas__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.2112293271227802,2030,11.064085371548899
Paragominas,dados_paragominas__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.2112293271227802,2040,12.89471338917171
Paragominas,dados_paragominas__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.08082371405835942,2030,2.2966762117935806
Paragominas,dados_paragominas__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_paragominas,Grupo 1 — 4 censos,identity,lbfgs,True,0.08082371405835942,2040,1.6664516673649632
Paragominas,dados_paragominas__populacao_total,População Total,dados_paragominas,Grupo 1 — 4 censos,tanh,lbfgs,True,3.6165333701261897,2030,106.48144266451382
Paragominas,dados_paragominas__populacao_total,População Total,dados_paragominas,Grupo 1 — 4 censos,tanh,lbfgs,True,3.6165333701261897,2040,106.72323709842203
Paragominas,dados_paragominas__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_paragominas,Grupo 1 — 4 censos,logistic,lbfgs,True,3.129442157611983,2030,96.79138615778633
Paragominas,dados_paragominas__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_paragominas,Grupo 1 — 4 censos,logistic,lbfgs,True,3.129442157611983,2040,98.347734703552
Paragominas,dados_paragominas__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_paragominas,Grupo 1 — 4 censos,relu,adam,True,1.9086755256134946,2030,43.58192124422825
Paragominas,dados_paragominas__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_paragominas,Grupo 1 — 4 censos,relu,adam,True,1.9086755256134946,2040,49.83671106277748
Paragominas,dados_paragominas__2_trabalhos,2 trabalhos,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.0108994442149628,2030,5.207566031552779
Paragominas,dados_paragominas__2_trabalhos,2 trabalhos,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.0108994442149628,2040,5.204828839630178
Paragominas,dados_paragominas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.23572755235183881,2030,0.7684325707834373
Paragominas,dados_paragominas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.23572755235183881,2040,0.7678677444583979
Paragominas,dados_paragominas__apenas_1_trabalho,Apenas 1 trabalho,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.2216756376093656,2030,94.03663718847777
Paragominas,dados_paragominas__apenas_1_trabalho,Apenas 1 trabalho,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.2216756376093656,2040,94.0316590816298
Paragominas,dados_paragominas__casais_com_filhos,Casais com filhos,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.96089823963919,2030,36.35746162682287
Paragominas,dados_paragominas__casais_com_filhos,Casais com filhos,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.96089823963919,2040,28.145930367664196
Paragominas,dados_paragominas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.502886266218959,2030,7.403506791123792
Paragominas,dados_paragominas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.502886266218959,2040,7.402021470726366
Paragominas,dados_paragominas__casais_sem_filhos,Casais sem filhos,dados_paragominas,Grupo 2 — 3 censos,identity,sgd,True,0.24221005601749912,2030,19.213094207762186
Paragominas,dados_paragominas__casais_sem_filhos,Casais sem filhos,dados_paragominas,Grupo 2 — 3 censos,identity,sgd,True,0.24221005601749912,2040,22.931035184440802
Paragominas,dados_paragominas__conta_propria,Conta própria,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,1.2237800645423285,2030,22.8164667021852
Paragominas,dados_paragominas__conta_propria,Conta própria,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,1.2237800645423285,2040,27.049001781782096
Paragominas,dados_paragominas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,1.4011121225387118,2030,28.260404749941742
Paragominas,dados_paragominas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,1.4011121225387118,2040,32.90280789701178
Paragominas,dados_paragominas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5164049894989032,2030,28.047558567141746
Paragominas,dados_paragominas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5164049894989032,2040,31.616125461549228
Paragominas,dados_paragominas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,4.547342559469553,2030,11.30041834042116
Paragominas,dados_paragominas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,4.547342559469553,2040,3.9606241919749188
Paragominas,dados_paragominas__empregador,Empregador,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,489.887761507759,2030,-3.3991017380634503
Paragominas,dados_paragominas__empregador,Empregador,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,489.887761507759,2040,22.428324512799065
Paragominas,dados_paragominas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_paragominas,Grupo 2 — 3 censos,logistic,adam,True,3.0124630262630916,2030,98.32365117368873
Paragominas,dados_paragominas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_paragominas,Grupo 2 — 3 censos,logistic,adam,True,3.0124630262630916,2040,98.77679402137991
Paragominas,dados_paragominas__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,2.6625117365975846,2030,87.50311998168195
Paragominas,dados_paragominas__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,2.6625117365975846,2040,90.82046773593412
Paragominas,dados_paragominas__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_paragominas,Grupo 2 — 3 censos,tanh,lbfgs,True,2.6474406140264874,2030,31.11228264990142
Paragominas,dados_paragominas__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_paragominas,Grupo 2 — 3 censos,tanh,lbfgs,True,2.6474406140264874,2040,31.0093328156339
Paragominas,dados_paragominas__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.03909432637083271,2030,0.9782203599198889
Paragominas,dados_paragominas__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.03909432637083271,2040,1.146636686005039
Paragominas,dados_paragominas__idade_mediana,Idade Mediana,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060819,2030,33.247045767201875
Paragominas,dados_paragominas__idade_mediana,Idade Mediana,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060819,2040,37.34050854135682
Paragominas,dados_paragominas__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,407.3072445156877,2030,-2.845114582063161
Paragominas,dados_paragominas__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,407.3072445156877,2040,18.628709401654106
Paragominas,dados_paragominas__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.015251259953216115,2030,24.924578224989695
Paragominas,dados_paragominas__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,0.015251259953216115,2040,27.833958764543105
Paragominas,dados_paragominas__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.2680358057833943,2030,3.8353302924952994
Paragominas,dados_paragominas__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.2680358057833943,2040,3.8345345357058327
Paragominas,dados_paragominas__media_populacao_amarela,Média: População Amarela,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5625086145790256,2030,11.779476059653208
Paragominas,dados_paragominas__media_populacao_amarela,Média: População Amarela,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5625086145790256,2040,13.62714218236237
Paragominas,dados_paragominas__media_populacao_branca,Média: População Branca,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5473163585856723,2030,11.30450235158244
Paragominas,dados_paragominas__media_populacao_branca,Média: População Branca,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.5473163585856723,2040,13.061862841720135
Paragominas,dados_paragominas__media_populacao_indigena,Média: População Indígena,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.2590586375370654,2030,8.315580619736721
Paragominas,dados_paragominas__media_populacao_indigena,Média: População Indígena,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.2590586375370654,2040,9.76878382347714
Paragominas,dados_paragominas__media_populacao_preta_parda,Média: População Preta / Parda,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.12127461939677087,2030,10.096436621136213
Paragominas,dados_paragominas__media_populacao_preta_parda,Média: População Preta / Parda,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,0.12127461939677087,2040,11.814947973210254
Paragominas,dados_paragominas__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,414.6008722607792,2030,951.4901794628768
Paragominas,dados_paragominas__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,414.6008722607792,2040,995.5374046785896
Paragominas,dados_paragominas__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_paragominas,Grupo 2 — 3 censos,identity,sgd,True,0.03037080823305664,2030,3.7689744267520093
Paragominas,dados_paragominas__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_paragominas,Grupo 2 — 3 censos,identity,sgd,True,0.03037080823305664,2040,4.1027820913983355
Paragominas,dados_paragominas__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,0.0870458653203126,2030,1.3910034977274082
Paragominas,dados_paragominas__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,0.0870458653203126,2040,1.4967044532036482
Paragominas,dados_paragominas__populacao_amarela,População Amarela,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,10.6766649284716,2030,187.30562829426356
Paragominas,dados_paragominas__populacao_amarela,População Amarela,dados_paragominas,Grupo 2 — 3 censos,identity,lbfgs,True,10.6766649284716,2040,123.84406798428179
Paragominas,dados_paragominas__populacao_branca,População Branca,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.7284325488781132,2030,20.169684317071532
Paragominas,dados_paragominas__populacao_branca,População Branca,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.7284325488781132,2040,20.165610131743087
Paragominas,dados_paragominas__populacao_indigena,População Indígena,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,56.77106415292991,2030,434.8348944522822
Paragominas,dados_paragominas__populacao_indigena,População Indígena,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,56.77106415292991,2040,437.21554835372666
Paragominas,dados_paragominas__populacao_indigena_total,População Indígena Total,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,56.77106415292991,2030,434.8348944522822
Paragominas,dados_paragominas__populacao_indigena_total,População Indígena Total,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,56.77106415292991,2040,437.21554835372666
Paragominas,dados_paragominas__populacao_parda,População Parda,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,5.580763603684599,2030,80.57266948542905
Paragominas,dados_paragominas__populacao_parda,População Parda,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,5.580763603684599,2040,84.87199145633893
Paragominas,dados_paragominas__populacao_preta,População Preta,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.9919292211222516,2030,6.824139134280852
Paragominas,dados_paragominas__populacao_preta,População Preta,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,0.9919292211222516,2040,6.821802186736231
Paragominas,dados_paragominas__populacao_rural,População Rural,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.495819167678923,2030,18.11835421748185
Paragominas,dados_paragominas__populacao_rural,População Rural,dados_paragominas,Grupo 2 — 3 censos,logistic,sgd,True,1.495819167678923,2040,18.114233843405945
Paragominas,dados_paragominas__populacao_urbana,População Urbana,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,6.218433625067441,2030,91.17756890111238
Paragominas,dados_paragominas__populacao_urbana,População Urbana,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,6.218433625067441,2040,95.68599861142732
Paragominas,dados_paragominas__populacao_com_superior_completo,População com Superior Completo,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,2.567025388594653,2030,19.15181403630238
Paragominas,dados_paragominas__populacao_com_superior_completo,População com Superior Completo,dados_paragominas,Grupo 2 — 3 censos,identity,adam,True,2.567025388594653,2040,25.146547233390596
Paragominas,dados_paragominas__populacao_de_homens,População de Homens,dados_paragominas,Grupo 2 — 3 censos,logistic,adam,True,4.085915568006686,2030,54.24608406474063
Paragominas,dados_paragominas__populacao_de_homens,População de Homens,dados_paragominas,Grupo 2 — 3 censos,logistic,adam,True,4.085915568006686,2040,54.99002828774402
Paragominas,dados_paragominas__populacao_de_mulheres,População de Mulheres,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,4.506318901129059,2030,55.439250342796285
Paragominas,dados_paragominas__populacao_de_mulheres,População de Mulheres,dados_paragominas,Grupo 2 — 3 censos,relu,adam,True,4.506318901129059,2040,57.7439541305681
Paragominas,dados_paragominas__proporcao_na_populacao_de_paragominas,Proporção na população de Paragominas,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,0.12828725485341627,2030,0.4008443787578124
Paragominas,dados_paragominas__proporcao_na_populacao_de_paragominas,Proporção na população de Paragominas,dados_paragominas,Grupo 2 — 3 censos,tanh,adam,True,0.12828725485341627,2040,0.40424380131823795
