municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Pau D Arco,dados_pau_d_arco__2_trabalhos,2 trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.9767329214669442,2030,3.6406325417928476
Pau D Arco,dados_pau_d_arco__2_trabalhos,2 trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.9767329214669442,2040,3.638230122306566
Pau D Arco,dados_pau_d_arco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Pau D Arco,dados_pau_d_arco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Pau D Arco,dados_pau_d_arco__anos_de_estudo_media,Anos de Estudo (Média),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2030,8.373013772284235
Pau D Arco,dados_pau_d_arco__anos_de_estudo_media,Anos de Estudo (Média),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2040,10.045055732181002
Pau D Arco,dados_pau_d_arco__apenas_1_trabalho,Apenas 1 trabalho,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,1.056582289909547,2030,95.86883770422688
Pau D Arco,dados_pau_d_arco__apenas_1_trabalho,Apenas 1 trabalho,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,1.056582289909547,2040,95.86463464405762
Pau D Arco,dados_pau_d_arco__casais_com_filhos,Casais com filhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,lbfgs,True,1.2354410520855883,2030,36.002464545579336
Pau D Arco,dados_pau_d_arco__casais_com_filhos,Casais com filhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,lbfgs,True,1.2354410520855883,2040,26.159064889266528
Pau D Arco,dados_pau_d_arco__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,1.023566863663003,2030,7.536412331420504
Pau D Arco,dados_pau_d_arco__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,1.023566863663003,2040,7.532171602957634
Pau D Arco,dados_pau_d_arco__casais_sem_filhos,Casais sem filhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.503056733355797,2030,17.804391831270465
Pau D Arco,dados_pau_d_arco__casais_sem_filhos,Casais sem filhos,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.503056733355797,2040,21.299065306863536
Pau D Arco,dados_pau_d_arco__conta_propria,Conta própria,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,494.55950004816367,2030,501.3055509037671
Pau D Arco,dados_pau_d_arco__conta_propria,Conta própria,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,494.55950004816367,2040,499.3411461278627
Pau D Arco,dados_pau_d_arco__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_pau_d_arco,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245161,2030,29.630091475974996
Pau D Arco,dados_pau_d_arco__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_pau_d_arco,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245161,2040,29.375649244249402
Pau D Arco,dados_pau_d_arco__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_pau_d_arco,Grupo 2 — 3 censos,relu,lbfgs,True,0.25732436744253034,2030,2.722419394644937
Pau D Arco,dados_pau_d_arco__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_pau_d_arco,Grupo 2 — 3 censos,relu,lbfgs,True,0.25732436744253034,2040,3.1221712365413268
Pau D Arco,dados_pau_d_arco__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.8382083651346299,2030,26.443511516289703
Pau D Arco,dados_pau_d_arco__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.8382083651346299,2040,31.437981816114796
Pau D Arco,dados_pau_d_arco__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,1.064116490909629,2030,27.35725027534336
Pau D Arco,dados_pau_d_arco__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,1.064116490909629,2040,31.18925108275247
Pau D Arco,dados_pau_d_arco__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,4.642833390050908,2030,13.065004106493973
Pau D Arco,dados_pau_d_arco__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,4.642833390050908,2040,4.476166383711302
Pau D Arco,dados_pau_d_arco__empregador,Empregador,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,6.076902397340234,2030,159.99146094353011
Pau D Arco,dados_pau_d_arco__empregador,Empregador,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,6.076902397340234,2040,196.11588650540503
Pau D Arco,dados_pau_d_arco__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_pau_d_arco,Grupo 2 — 3 censos,logistic,adam,True,5.718347769959706,2030,96.77339226172666
Pau D Arco,dados_pau_d_arco__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_pau_d_arco,Grupo 2 — 3 censos,logistic,adam,True,5.718347769959706,2040,97.61369285595289
Pau D Arco,dados_pau_d_arco__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,3.6047905664649327,2030,78.8366354936576
Pau D Arco,dados_pau_d_arco__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,3.6047905664649327,2040,83.05240345212466
Pau D Arco,dados_pau_d_arco__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,2.455350322566691,2030,18.885104486115544
Pau D Arco,dados_pau_d_arco__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,2.455350322566691,2040,18.879277955424573
Pau D Arco,dados_pau_d_arco__idade_mediana,Idade Mediana,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2030,34.46879368938008
Pau D Arco,dados_pau_d_arco__idade_mediana,Idade Mediana,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2040,39.011896464596354
Pau D Arco,dados_pau_d_arco__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2030,37.49786523588253
Pau D Arco,dados_pau_d_arco__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2040,46.52897162635126
Pau D Arco,dados_pau_d_arco__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.5317289597672712,2030,21.024252832558886
Pau D Arco,dados_pau_d_arco__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.5317289597672712,2040,24.185140069222935
Pau D Arco,dados_pau_d_arco__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.23485046043556412,2030,3.668186467509041
Pau D Arco,dados_pau_d_arco__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.23485046043556412,2040,3.6674912838412337
Pau D Arco,dados_pau_d_arco__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341959,2030,7.921460816733447
Pau D Arco,dados_pau_d_arco__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341959,2040,9.54966415250405
Pau D Arco,dados_pau_d_arco__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.28865286387366035,2030,8.82459439481768
Pau D Arco,dados_pau_d_arco__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.28865286387366035,2040,10.540504609006737
Pau D Arco,dados_pau_d_arco__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_pau_d_arco,Grupo 2 — 3 censos,identity,lbfgs,True,0.09151427081547044,2030,2.448333956807974
Pau D Arco,dados_pau_d_arco__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_pau_d_arco,Grupo 2 — 3 censos,identity,lbfgs,True,0.09151427081547044,2040,1.9043777255795584
Pau D Arco,dados_pau_d_arco__media_populacao_amarela,Média: População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.42564659636385055,2030,9.002900110137343
Pau D Arco,dados_pau_d_arco__media_populacao_amarela,Média: População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.42564659636385055,2040,10.535700433100988
Pau D Arco,dados_pau_d_arco__media_populacao_branca,Média: População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.3495536021220806,2030,8.726244088120605
Pau D Arco,dados_pau_d_arco__media_populacao_branca,Média: População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.3495536021220806,2040,10.305428803558554
Pau D Arco,dados_pau_d_arco__media_populacao_indigena,Média: População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.212691583906909,2030,6.149701133023555
Pau D Arco,dados_pau_d_arco__media_populacao_indigena,Média: População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.212691583906909,2040,7.414056027689176
Pau D Arco,dados_pau_d_arco__media_populacao_preta_parda,Média: População Preta / Parda,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341899,2030,8.021460816733448
Pau D Arco,dados_pau_d_arco__media_populacao_preta_parda,Média: População Preta / Parda,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341899,2040,9.649664152504052
Pau D Arco,dados_pau_d_arco__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,53.22326279850352,2030,41.90151200220545
Pau D Arco,dados_pau_d_arco__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,53.22326279850352,2040,-1.6366720302757471
Pau D Arco,dados_pau_d_arco__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.12180147649683908,2030,4.297042932464106
Pau D Arco,dados_pau_d_arco__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.12180147649683908,2040,4.570862352657443
Pau D Arco,dados_pau_d_arco__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.061577470809780634,2030,0.8336989060632846
Pau D Arco,dados_pau_d_arco__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,0.061577470809780634,2040,0.8334905168116217
Pau D Arco,dados_pau_d_arco__populacao_amarela,População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,11.162825057146591,2030,2.791042993293509
Pau D Arco,dados_pau_d_arco__populacao_amarela,População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,relu,adam,True,11.162825057146591,2040,-14.379662804584427
Pau D Arco,dados_pau_d_arco__populacao_branca,População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.1480157287621792,2030,1.2153123782810484
Pau D Arco,dados_pau_d_arco__populacao_branca,População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.1480157287621792,2040,1.2220913065883579
Pau D Arco,dados_pau_d_arco__populacao_indigena,População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,19.19299320185871,2030,26.14413950799525
Pau D Arco,dados_pau_d_arco__populacao_indigena,População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,19.19299320185871,2040,26.098899115448695
Pau D Arco,dados_pau_d_arco__populacao_indigena_total,População Indígena Total,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,19.19299320185871,2030,26.14413950799525
Pau D Arco,dados_pau_d_arco__populacao_indigena_total,População Indígena Total,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,19.19299320185871,2040,26.098899115448695
Pau D Arco,dados_pau_d_arco__populacao_parda,População Parda,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.23446125654266461,2030,5.579404617454068
Pau D Arco,dados_pau_d_arco__populacao_parda,População Parda,dados_pau_d_arco,Grupo 2 — 3 censos,identity,adam,True,0.23446125654266461,2040,6.081620356295641
Pau D Arco,dados_pau_d_arco__populacao_preta,População Preta,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,93.16760215483924,2030,413.806053418
Pau D Arco,dados_pau_d_arco__populacao_preta,População Preta,dados_pau_d_arco,Grupo 2 — 3 censos,logistic,sgd,True,93.16760215483924,2040,413.4910506578111
Pau D Arco,dados_pau_d_arco__populacao_rural,População Rural,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.5838484358800772,2030,2.3319199872387095
Pau D Arco,dados_pau_d_arco__populacao_rural,População Rural,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.5838484358800772,2040,2.358678350624291
Pau D Arco,dados_pau_d_arco__populacao_total,População Total,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.4938033060121416,2030,7.050056248559574
Pau D Arco,dados_pau_d_arco__populacao_total,População Total,dados_pau_d_arco,Grupo 2 — 3 censos,tanh,adam,True,0.4938033060121416,2040,7.0934810570704565
