municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Piçarra,dados_picarra__2_trabalhos,2 trabalhos,dados_picarra,Grupo 2 — 3 censos,logistic,sgd,True,0.9767329214669442,2030,3.6406325417928476
Piçarra,dados_picarra__2_trabalhos,2 trabalhos,dados_picarra,Grupo 2 — 3 censos,logistic,sgd,True,0.9767329214669442,2040,3.638230122306566
Piçarra,dados_picarra__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_picarra,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Piçarra,dados_picarra__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_picarra,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Piçarra,dados_picarra__anos_de_estudo_media,Anos de Estudo (Média),dados_picarra,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2030,8.373013772284235
Piçarra,dados_picarra__anos_de_estudo_media,Anos de Estudo (Média),dados_picarra,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2040,10.045055732181002
Piçarra,dados_picarra__apenas_1_trabalho,Apenas 1 trabalho,dados_picarra,Grupo 2 — 3 censos,logistic,sgd,True,1.056582289909547,2030,95.86883770422688
Piçarra,dados_picarra__apenas_1_trabalho,Apenas 1 trabalho,dados_picarra,Grupo 2 — 3 censos,logistic,sgd,True,1.056582289909547,2040,95.86463464405762
Piçarra,dados_picarra__casais_com_filhos,Casais com filhos,dados_picarra,Grupo 2 — 3 censos,identity,lbfgs,True,1.2354410520855883,2030,36.002464545579336
Piçarra,dados_picarra__casais_com_filhos,Casais com filhos,dados_picarra,Grupo 2 — 3 censos,identity,lbfgs,True,1.2354410520855883,2040,26.159064889266528
Piçarra,dados_picarra__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_picarra,Grupo 2 — 3 censos,logistic,sgd,True,1.023566863663003,2030,7.536412331420504
