municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Placas,dados_placas__2_trabalhos,2 trabalhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.6699081207326181,2030,7.483736128552588
Placas,dados_placas__2_trabalhos,2 trabalhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.6699081207326181,2040,8.989742939615937
Placas,dados_placas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841987,2030,0.8985214662320534
Placas,dados_placas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841987,2040,1.0354311763287214
Placas,dados_placas__anos_de_estudo_media,Anos de Estudo (Média),dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.48641562033725316,2030,8.402804577578152
Placas,dados_placas__anos_de_estudo_media,Anos de Estudo (Média),dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.48641562033725316,2040,10.296838114924165
Placas,dados_placas__apenas_1_trabalho,Apenas 1 trabalho,dados_placas,Grupo 2 — 3 censos,relu,lbfgs,True,0.5892480404293963,2030,91.22545903603958
Placas,dados_placas__apenas_1_trabalho,Apenas 1 trabalho,dados_placas,Grupo 2 — 3 censos,relu,lbfgs,True,0.5892480404293963,2040,89.26290604335647
Placas,dados_placas__casais_com_filhos,Casais com filhos,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.13727846348554826,2030,42.677228728033754
Placas,dados_placas__casais_com_filhos,Casais com filhos,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.13727846348554826,2040,32.49318326214235
Placas,dados_placas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.5162147457613351,2030,7.800577100480866
Placas,dados_placas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.5162147457613351,2040,8.04817579294929
Placas,dados_placas__casais_sem_filhos,Casais sem filhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.492002229948776,2030,13.614748199457658
Placas,dados_placas__casais_sem_filhos,Casais sem filhos,dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.492002229948776,2040,16.720173075417964
Placas,dados_placas__conta_propria,Conta própria,dados_placas,Grupo 2 — 3 censos,logistic,sgd,True,0.7637270324996592,2030,4.89233377081844
Placas,dados_placas__conta_propria,Conta própria,dados_placas,Grupo 2 — 3 censos,logistic,sgd,True,0.7637270324996592,2040,4.890452182926446
Placas,dados_placas__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_placas,Grupo 2 — 3 censos,logistic,sgd,True,16.50911855042054,2030,106.70706450708155
Placas,dados_placas__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_placas,Grupo 2 — 3 censos,logistic,sgd,True,16.50911855042054,2040,106.64059227317097
Placas,dados_placas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.8994501102527335,2030,7.182484109291172
Placas,dados_placas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.8994501102527335,2040,7.698385863634634
Placas,dados_placas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_placas,Grupo 2 — 3 censos,identity,sgd,True,0.45714426455863527,2030,22.803963042507092
Placas,dados_placas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_placas,Grupo 2 — 3 censos,identity,sgd,True,0.45714426455863527,2040,27.28733653666212
Placas,dados_placas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.24403933590364288,2030,25.995374255218586
Placas,dados_placas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.24403933590364288,2040,30.54488732931668
Placas,dados_placas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.9456423325387604,2030,17.332621452788132
Placas,dados_placas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.9456423325387604,2040,3.711764405824816
Placas,dados_placas__empregador,Empregador,dados_placas,Grupo 2 — 3 censos,identity,adam,True,15.192255993350585,2030,354.9786523588253
Placas,dados_placas__empregador,Empregador,dados_placas,Grupo 2 — 3 censos,identity,adam,True,15.192255993350585,2040,445.28971626351256
Placas,dados_placas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_placas,Grupo 2 — 3 censos,tanh,lbfgs,True,10.281628454469347,2030,92.67455012156826
Placas,dados_placas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_placas,Grupo 2 — 3 censos,tanh,lbfgs,True,10.281628454469347,2040,92.36430962682293
Placas,dados_placas__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_placas,Grupo 2 — 3 censos,relu,adam,True,5.599376430054549,2030,67.40310633586687
Placas,dados_placas__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_placas,Grupo 2 — 3 censos,relu,adam,True,5.599376430054549,2040,73.53173214912026
Placas,dados_placas__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.0029523241111742,2030,21.352051524097398
Placas,dados_placas__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.0029523241111742,2040,26.316631759998998
Placas,dados_placas__idade_mediana,Idade Mediana,dados_placas,Grupo 2 — 3 censos,relu,lbfgs,True,2.5036004004471324,2030,31.161202818061344
Placas,dados_placas__idade_mediana,Idade Mediana,dados_placas,Grupo 2 — 3 censos,relu,lbfgs,True,2.5036004004471324,2040,35.07294055052432
Placas,dados_placas__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_placas,Grupo 2 — 3 censos,identity,adam,True,6.09007382484198,2030,49.85214662320534
Placas,dados_placas__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_placas,Grupo 2 — 3 censos,identity,adam,True,6.09007382484198,2040,63.54311763287215
Placas,dados_placas__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.0660922050348904,2030,22.519480281138218
Placas,dados_placas__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,1.0660922050348904,2040,26.159980666561545
Placas,dados_placas__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.634363724341662,2030,4.648028932850192
Placas,dados_placas__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.634363724341662,2040,5.161159622586357
Placas,dados_placas__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.4712233643439041,2030,7.827828091854666
Placas,dados_placas__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.4712233643439041,2040,9.631552920500315
Placas,dados_placas__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.5016078763306043,2030,8.97778125513553
Placas,dados_placas__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.5016078763306043,2040,10.962123711258247
Placas,dados_placas__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353361935408444,2030,2.646117725698341
Placas,dados_placas__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353361935408444,2040,1.8768835702961018
Placas,dados_placas__media_populacao_amarela,Média: População Amarela,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390305,2030,8.627828091854665
Placas,dados_placas__media_populacao_amarela,Média: População Amarela,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390305,2040,10.431552920500318
Placas,dados_placas__media_populacao_branca,Média: População Branca,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390216,2030,8.527828091854666
Placas,dados_placas__media_populacao_branca,Média: População Branca,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390216,2040,10.331552920500318
Placas,dados_placas__media_populacao_indigena,Média: População Indígena,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341974,2030,6.321460816733449
Placas,dados_placas__media_populacao_indigena,Média: População Indígena,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341974,2040,7.949664152504051
Placas,dados_placas__media_populacao_preta_parda,Média: População Preta / Parda,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.39513037010213203,2030,8.151178098774855
Placas,dados_placas__media_populacao_preta_parda,Média: População Preta / Parda,dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.39513037010213203,2040,10.001293902836892
Placas,dados_placas__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_placas,Grupo 2 — 3 censos,tanh,adam,True,305.70654954389164,2030,702.1206631602228
Placas,dados_placas__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_placas,Grupo 2 — 3 censos,tanh,adam,True,305.70654954389164,2040,734.646371258395
Placas,dados_placas__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348927,2030,4.271948028113822
Placas,dados_placas__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_placas,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348927,2040,4.635998066656153
Placas,dados_placas__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.3815079996538604,2030,3.015499267597405
Placas,dados_placas__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_placas,Grupo 2 — 3 censos,relu,adam,True,0.3815079996538604,2040,3.3773479421953163
Placas,dados_placas__populacao_amarela,População Amarela,dados_placas,Grupo 2 — 3 censos,identity,lbfgs,True,3.0504949409281417,2030,13.054425907013346
