municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Portel,dados_portel__anos_de_estudo_media,Anos de Estudo (Média),dados_portel,Grupo 1 — 4 censos,identity,lbfgs,True,0.1708184278092566,2030,8.110841283368558
Portel,dados_portel__anos_de_estudo_media,Anos de Estudo (Média),dados_portel,Grupo 1 — 4 censos,identity,lbfgs,True,0.1708184278092566,2040,9.651459599792627
Portel,dados_portel__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_portel,Grupo 1 — 4 censos,tanh,adam,True,13.54244862314441,2030,245.86788100361494
Portel,dados_portel__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_portel,Grupo 1 — 4 censos,tanh,adam,True,13.54244862314441,2040,247.79724496621745
Portel,dados_portel__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_portel,Grupo 1 — 4 censos,identity,sgd,True,0.5435972300302709,2030,18.928453715212093
Portel,dados_portel__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_portel,Grupo 1 — 4 censos,identity,sgd,True,0.5435972300302709,2040,22.484700366432264
Portel,dados_portel__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_portel,Grupo 1 — 4 censos,identity,adam,True,0.1392686392178366,2030,7.61961675880894
Portel,dados_portel__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_portel,Grupo 1 — 4 censos,identity,adam,True,0.1392686392178366,2040,9.088372878968038
Portel,dados_portel__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_portel,Grupo 1 — 4 censos,identity,lbfgs,True,0.2344599015071035,2030,8.59628968717344
Portel,dados_portel__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_portel,Grupo 1 — 4 censos,identity,lbfgs,True,0.2344599015071035,2040,10.203075574089311
Portel,dados_portel__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_portel,Grupo 1 — 4 censos,identity,adam,True,0.0451920457632804,2030,3.313264530061856
Portel,dados_portel__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_portel,Grupo 1 — 4 censos,identity,adam,True,0.0451920457632804,2040,2.7526350340837915
Portel,dados_portel__populacao_total,População Total,dados_portel,Grupo 1 — 4 censos,identity,adam,True,2.1374975519175834,2030,70.96090646386095
Portel,dados_portel__populacao_total,População Total,dados_portel,Grupo 1 — 4 censos,identity,adam,True,2.1374975519175834,2040,80.83586536772889
Portel,dados_portel__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_portel,Grupo 1 — 4 censos,logistic,lbfgs,True,2.269263885741676,2030,87.90686487275191
Portel,dados_portel__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_portel,Grupo 1 — 4 censos,logistic,lbfgs,True,2.269263885741676,2040,89.78123705934061
Portel,dados_portel__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_portel,Grupo 1 — 4 censos,identity,sgd,True,0.5538644856999975,2030,19.201197166130946
Portel,dados_portel__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_portel,Grupo 1 — 4 censos,identity,sgd,True,0.5538644856999975,2040,22.795240694492087
Portel,dados_portel__2_trabalhos,2 trabalhos,dados_portel,Grupo 2 — 3 censos,tanh,adam,True,1.7134179040090591,2030,7.7958627885723075
Portel,dados_portel__2_trabalhos,2 trabalhos,dados_portel,Grupo 2 — 3 censos,tanh,adam,True,1.7134179040090591,2040,7.936715939439113
Portel,dados_portel__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_portel,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2030,0.8532083159839907
Portel,dados_portel__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_portel,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2040,0.8742845123278303
Portel,dados_portel__apenas_1_trabalho,Apenas 1 trabalho,dados_portel,Grupo 2 — 3 censos,logistic,sgd,True,2.1131624176234802,2030,93.93525018805562
Portel,dados_portel__apenas_1_trabalho,Apenas 1 trabalho,dados_portel,Grupo 2 — 3 censos,logistic,sgd,True,2.1131624176234802,2040,93.92681546281396
Portel,dados_portel__casais_com_filhos,Casais com filhos,dados_portel,Grupo 2 — 3 censos,identity,lbfgs,True,0.610091930923287,2030,39.78879164288472
Portel,dados_portel__casais_com_filhos,Casais com filhos,dados_portel,Grupo 2 — 3 censos,identity,lbfgs,True,0.610091930923287,2040,31.16243186473791
Portel,dados_portel__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_portel,Grupo 2 — 3 censos,logistic,sgd,True,0.3352575108126394,2030,8.069004527415862
Portel,dados_portel__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_portel,Grupo 2 — 3 censos,logistic,sgd,True,0.3352575108126394,2040,8.068014313817578
Portel,dados_portel__casais_sem_filhos,Casais sem filhos,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.8528737640279127,2030,15.375584224910574
Portel,dados_portel__casais_sem_filhos,Casais sem filhos,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.8528737640279127,2040,18.28798453324923
Portel,dados_portel__conta_propria,Conta própria,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.8510297641776665,2030,19.22226878280198
Portel,dados_portel__conta_propria,Conta própria,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.8510297641776665,2040,23.28374246094909
Portel,dados_portel__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_portel,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2030,24.047045767201872
Portel,dados_portel__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_portel,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2040,28.14050854135681
Portel,dados_portel__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.3033182627669427,2030,26.292778098789643
Portel,dados_portel__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.3033182627669427,2040,30.091034619695833
Portel,dados_portel__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_portel,Grupo 2 — 3 censos,relu,adam,True,4.327261537577685,2030,21.264151111216723
Portel,dados_portel__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_portel,Grupo 2 — 3 censos,relu,adam,True,4.327261537577685,2040,13.685149825399282
Portel,dados_portel__empregador,Empregador,dados_portel,Grupo 2 — 3 censos,identity,adam,True,127.89155032168156,2030,1046.8950790873123
Portel,dados_portel__empregador,Empregador,dados_portel,Grupo 2 — 3 censos,identity,adam,True,127.89155032168156,2040,1334.4054702903154
Portel,dados_portel__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_portel,Grupo 2 — 3 censos,logistic,adam,True,5.03433663105767,2030,95.01302110855411
Portel,dados_portel__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_portel,Grupo 2 — 3 censos,logistic,adam,True,5.03433663105767,2040,95.93408407480922
Portel,dados_portel__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_portel,Grupo 2 — 3 censos,relu,adam,True,3.6151327663029442,2030,75.55930468894131
Portel,dados_portel__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_portel,Grupo 2 — 3 censos,relu,adam,True,3.6151327663029442,2040,79.44362692094333
Portel,dados_portel__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_portel,Grupo 2 — 3 censos,logistic,lbfgs,True,2.2829511668294367,2030,22.12557646784239
Portel,dados_portel__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_portel,Grupo 2 — 3 censos,logistic,lbfgs,True,2.2829511668294367,2040,22.288063014157153
Portel,dados_portel__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_portel,Grupo 2 — 3 censos,identity,adam,True,0.010895168559678906,2030,0.7639390003480284
