municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Salinópolis,dados_salinopolis__anos_de_estudo_media,Anos de Estudo (Média),dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2783211813537467,2030,8.605920766361406
Salinópolis,dados_salinopolis__anos_de_estudo_media,Anos de Estudo (Média),dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2783211813537467,2040,8.91695218076717
Salinópolis,dados_salinopolis__domicilios_coletivos_hoteis_pousadas_alojamen,Domicílios Coletivos (Hotéis pousadas alojamentos),dados_salinopolis,Grupo 1 — 4 censos,relu,sgd,True,26.769483920401314,2030,379.8800747391869
Salinópolis,dados_salinopolis__domicilios_coletivos_hoteis_pousadas_alojamen,Domicílios Coletivos (Hotéis pousadas alojamentos),dados_salinopolis,Grupo 1 — 4 censos,relu,sgd,True,26.769483920401314,2040,433.6292170365723
Salinópolis,dados_salinopolis__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_salinopolis,Grupo 1 — 4 censos,relu,adam,True,1.3521748831737757,2030,19.03007350865301
Salinópolis,dados_salinopolis__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_salinopolis,Grupo 1 — 4 censos,relu,adam,True,1.3521748831737757,2040,22.32228257993511
Salinópolis,dados_salinopolis__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2273457687977376,2030,8.217469369952752
Salinópolis,dados_salinopolis__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2273457687977376,2040,8.53960240628102
Salinópolis,dados_salinopolis__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_salinopolis,Grupo 1 — 4 censos,identity,lbfgs,True,0.33566014990272863,2030,10.110634845905295
Salinópolis,dados_salinopolis__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_salinopolis,Grupo 1 — 4 censos,identity,lbfgs,True,0.33566014990272863,2040,11.929532417577668
Salinópolis,dados_salinopolis__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_salinopolis,Grupo 1 — 4 censos,identity,lbfgs,True,0.1492415248889134,2030,2.181273407324962
Salinópolis,dados_salinopolis__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_salinopolis,Grupo 1 — 4 censos,identity,lbfgs,True,0.1492415248889134,2040,1.3694428886406924
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,identity,adam,True,2.2763899559254837,2030,44.40490967752804
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,identity,adam,True,2.2763899559254837,2040,47.88694603396386
Salinópolis,dados_salinopolis__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,2.4758372224901866,2030,91.05956739923728
Salinópolis,dados_salinopolis__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_salinopolis,Grupo 1 — 4 censos,logistic,lbfgs,True,2.4758372224901866,2040,92.22723468007777
Salinópolis,dados_salinopolis__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_salinopolis,Grupo 1 — 4 censos,relu,lbfgs,True,1.3673886500440775,2030,20.789837603942722
Salinópolis,dados_salinopolis__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_salinopolis,Grupo 1 — 4 censos,relu,lbfgs,True,1.3673886500440775,2040,25.362857641833987
Salinópolis,dados_salinopolis__2_trabalhos,2 trabalhos,dados_salinopolis,Grupo 2 — 3 censos,tanh,adam,True,1.9018399651257945,2030,8.365057510715022
Salinópolis,dados_salinopolis__2_trabalhos,2 trabalhos,dados_salinopolis,Grupo 2 — 3 censos,tanh,adam,True,1.9018399651257945,2040,8.535726938292218
Salinópolis,dados_salinopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_salinopolis,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2030,0.9532083159839907
Salinópolis,dados_salinopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_salinopolis,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2040,0.9742845123278303
Salinópolis,dados_salinopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_salinopolis,Grupo 2 — 3 censos,relu,lbfgs,True,2.33831512895595,2030,88.30202562150704
Salinópolis,dados_salinopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_salinopolis,Grupo 2 — 3 censos,relu,lbfgs,True,2.33831512895595,2040,84.64123232157709
