municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santa Bárbara do Pará,dados_santa_barbara_do_para__2_trabalhos,2 trabalhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.841088347120715,2030,7.479054483205319
Santa Bárbara do Pará,dados_santa_barbara_do_para__2_trabalhos,2 trabalhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.841088347120715,2040,8.784711979958619
Santa Bárbara do Pará,dados_santa_barbara_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838699,2030,0.839906236987993
Santa Bárbara do Pará,dados_santa_barbara_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838699,2040,0.8557133842458728
Santa Bárbara do Pará,dados_santa_barbara_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.4864156203372536,2030,9.002804577578152
Santa Bárbara do Pará,dados_santa_barbara_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.4864156203372536,2040,10.896838114924167
Santa Bárbara do Pará,dados_santa_barbara_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7823795679739476,2030,91.1567250630477
Santa Bárbara do Pará,dados_santa_barbara_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7823795679739476,2040,89.05466174106918
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_com_filhos,Casais com filhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.31170326521647,2030,40.12608577530228
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_com_filhos,Casais com filhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.31170326521647,2040,30.329387600596053
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_barbara_do_para,Grupo 2 — 3 censos,tanh,lbfgs,True,0.28000077748216984,2030,7.49269797368686
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_barbara_do_para,Grupo 2 — 3 censos,tanh,lbfgs,True,0.28000077748216984,2040,7.482531373504938
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_sem_filhos,Casais sem filhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,1.0811527467532225,2030,14.346393523463362
Santa Bárbara do Pará,dados_santa_barbara_do_para__casais_sem_filhos,Casais sem filhos,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,1.0811527467532225,2040,17.398784524220453
Santa Bárbara do Pará,dados_santa_barbara_do_para__conta_propria,Conta própria,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,adam,True,0.3991757277138732,2030,4.508291242996513
Santa Bárbara do Pará,dados_santa_barbara_do_para__conta_propria,Conta própria,dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,adam,True,0.3991757277138732,2040,4.875452800655731
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,adam,True,19.32170393985005,2030,148.01246650147263
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santa_barbara_do_para,Grupo 2 — 3 censos,relu,adam,True,19.32170393985005,2040,157.90073501770343
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.2348168850852129,2030,7.914643541364818
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.2348168850852129,2040,9.761291562669449
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.015250575072783453,2030,23.624502409996623
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.015250575072783453,2040,28.03390351016227
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.09009982175995941,2030,26.436408460189135
Santa Bárbara do Pará,dados_santa_barbara_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_barbara_do_para,Grupo 2 — 3 censos,identity,adam,True,0.09009982175995941,2040,30.96248057925196
