municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santa Luzia do Pará,dados_santa_luzia_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14090159503180044,2030,8.228501765513746
Santa Luzia do Pará,dados_santa_luzia_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14090159503180044,2040,9.988917763593063
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santa_luzia_do_para,Grupo 1 — 4 censos,tanh,lbfgs,True,3.185540594432574,2030,87.67732475918622
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santa_luzia_do_para,Grupo 1 — 4 censos,tanh,lbfgs,True,3.185540594432574,2040,86.6843836508146
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.1796598942070341,2030,6.772573582902629
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.1796598942070341,2040,7.742194446108643
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.1385639355438471,2030,7.644484936129593
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.1385639355438471,2040,9.308621114537186
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14324075737831488,2030,8.812521313279081
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14324075737831488,2040,10.6692195080665
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.14924152488891318,2030,2.481273407324962
Santa Luzia do Pará,dados_santa_luzia_do_para__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.14924152488891318,2040,1.6694428886406918
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.0634392908037622,2030,20.07079210165098
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.0634392908037622,2040,20.372374817166442
Santa Luzia do Pará,dados_santa_luzia_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santa_luzia_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,2.8912436869301246,2030,84.35964234021625
Santa Luzia do Pará,dados_santa_luzia_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santa_luzia_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,2.8912436869301246,2040,85.57605933226102
Santa Luzia do Pará,dados_santa_luzia_do_para__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.17402998954619475,2030,6.86245217587116
Santa Luzia do Pará,dados_santa_luzia_do_para__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santa_luzia_do_para,Grupo 1 — 4 censos,identity,sgd,True,0.17402998954619475,2040,7.828880367546249
Santa Luzia do Pará,dados_santa_luzia_do_para__2_trabalhos,2 trabalhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.9012494566880748,2030,8.277937647628676
Santa Luzia do Pará,dados_santa_luzia_do_para__2_trabalhos,2 trabalhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.9012494566880748,2040,9.700645716800636
Santa Luzia do Pará,dados_santa_luzia_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958867005,2030,0.8266041579919954
Santa Luzia do Pará,dados_santa_luzia_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958867005,2040,0.8371422561639152
Santa Luzia do Pará,dados_santa_luzia_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7637233124058677,2030,90.39165854697214
Santa Luzia do Pará,dados_santa_luzia_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7637233124058677,2040,88.20488820907659
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_com_filhos,Casais com filhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.12201325363022875,2030,41.997569454549904
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_com_filhos,Casais com filhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.12201325363022875,2040,32.27231429517599
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_luzia_do_para,Grupo 2 — 3 censos,logistic,lbfgs,True,0.49111342841093936,2030,7.851338665071249
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_luzia_do_para,Grupo 2 — 3 censos,logistic,lbfgs,True,0.49111342841093936,2040,7.872813444168829
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_sem_filhos,Casais sem filhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.4768099739554266,2030,14.089629964777902
Santa Luzia do Pará,dados_santa_luzia_do_para__casais_sem_filhos,Casais sem filhos,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.4768099739554266,2040,17.285256606285394
Santa Luzia do Pará,dados_santa_luzia_do_para__conta_propria,Conta própria,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,adam,True,0.16334746525108498,2030,4.9743378211168165
Santa Luzia do Pará,dados_santa_luzia_do_para__conta_propria,Conta própria,dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,adam,True,0.16334746525108498,2040,5.152541697677854
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.274544595331817,2030,23.244833907167372
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.274544595331817,2040,27.61302586670361
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,0.09009982175995941,2030,26.436408460189135
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,0.09009982175995941,2040,30.96248057925196
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.8760412685785386,2030,16.54081270082145
Santa Luzia do Pará,dados_santa_luzia_do_para__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.8760412685785386,2040,3.3897180112524623
Santa Luzia do Pará,dados_santa_luzia_do_para__empregador,Empregador,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,7.582956569173547,2030,397.3194524697411
Santa Luzia do Pará,dados_santa_luzia_do_para__empregador,Empregador,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,7.582956569173547,2040,492.27586549239595
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,logistic,adam,True,7.864395747925191,2030,95.68271384294728
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,logistic,adam,True,7.864395747925191,2040,96.98070888241544
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,adam,True,5.479006026361627,2030,68.05968522518182
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,relu,adam,True,5.479006026361627,2040,74.14330364127302
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.002952324111173,2030,21.9520515240974
Santa Luzia do Pará,dados_santa_luzia_do_para__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.002952324111173,2040,26.916631759999003
Santa Luzia do Pará,dados_santa_luzia_do_para__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,0.06615447979803483,2030,0.8182964156923986
Santa Luzia do Pará,dados_santa_luzia_do_para__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,0.06615447979803483,2040,1.0047121015209692
Santa Luzia do Pará,dados_santa_luzia_do_para__idade_mediana,Idade Mediana,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.6750995875190877,2030,33.70464018886804
Santa Luzia do Pará,dados_santa_luzia_do_para__idade_mediana,Idade Mediana,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,1.6750995875190877,2040,38.71417399679638
Santa Luzia do Pará,dados_santa_luzia_do_para__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,9.13511073726297,2030,74.77821993480802
Santa Luzia do Pará,dados_santa_luzia_do_para__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santa_luzia_do_para,Grupo 2 — 3 censos,identity,adam,True,9.13511073726297,2040,95.31467644930825
