municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__2_trabalhos,2 trabalhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2030,3.4398857191725694
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__2_trabalhos,2 trabalhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2040,3.437767721060969
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2030,0.6266041579919953
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2040,0.6371422561639152
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518855,2030,8.198035864902133
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__anos_de_estudo_media,Anos de Estudo (Média),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518855,2040,9.77976755951999
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.9905460319274321,2030,96.1020749671602
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__apenas_1_trabalho,Apenas 1 trabalho,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.9905460319274321,2040,96.09813159297808
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_com_filhos,Casais com filhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,lbfgs,True,0.6253436678232257,2030,36.91349176032365
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_com_filhos,Casais com filhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,lbfgs,True,0.6253436678232257,2040,27.19647509353488
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.924511936140919,2030,7.736085930129406
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.924511936140919,2040,7.732262399587293
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_sem_filhos,Casais sem filhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,1.0660922050348913,2030,17.919480281138217
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__casais_sem_filhos,Casais sem filhos,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,1.0660922050348913,2040,21.55998066656154
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__conta_propria,Conta própria,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,adam,True,0.26455510345478733,2030,2.227946709863316
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__conta_propria,Conta própria,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,adam,True,0.26455510345478733,2040,2.26295443941221
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,10.040705037707497,2030,40.08349738457661
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,10.040705037707497,2040,40.053041984396444
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,1.22461566861311,2030,4.049161467482562
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,1.22461566861311,2040,4.046227121123364
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.8230161091412788,2030,26.318458703310313
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.8230161091412788,2040,31.40320640668114
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,1.1554017411447504,2030,27.10890040651375
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,1.1554017411447504,2040,30.984844890726997
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,4.733521457601739,2030,13.895189668296506
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,4.733521457601739,2040,5.238141940412369
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__empregador,Empregador,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,28.929103441454117,2030,341.8877933940611
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__empregador,Empregador,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,28.929103441454117,2040,379.04834566167017
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,adam,True,5.408963923494468,2030,96.39690059524312
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,adam,True,5.408963923494468,2040,97.23858991362255
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,3.466321313055488,2030,78.69955327576385
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,3.466321313055488,2040,83.47288794061218
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,2.587906930790601,2030,18.819456550532227
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,2.587906930790601,2040,18.813332684356624
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__idade_mediana,Idade Mediana,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,lbfgs,True,2.903896339681316,2030,35.75332338377795
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__idade_mediana,Idade Mediana,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,lbfgs,True,2.903896339681316,2040,40.28973191824742
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,3.038451198670117,2030,84.99573047176506
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,3.038451198670117,2040,103.05794325270251
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.6991072042441638,2030,20.85248817624121
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.6991072042441638,2040,24.010857607117106
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.20081410075414988,2030,3.4016699476915324
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,logistic,sgd,True,0.20081410075414988,2040,3.4010608396879287
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.25826835188695973,2030,7.774637090100031
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.25826835188695973,2040,9.309925176479712
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803103,2030,8.649615742458856
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803103,2040,10.275214892743225
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,lbfgs,True,0.015252057684592627,2030,2.3247110460912745
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,lbfgs,True,0.015252057684592627,2040,1.7340528684958147
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_amarela,Média: População Amarela,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.42564659636385144,2030,9.102900110137343
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_amarela,Média: População Amarela,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.42564659636385144,2040,10.635700433100986
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_branca,Média: População Branca,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.3495536021220804,2030,8.826244088120603
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_branca,Média: População Branca,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.3495536021220804,2040,10.405428803558552
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_indigena,Média: População Indígena,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.21269158390690812,2030,6.249701133023555
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_indigena,Média: População Indígena,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.21269158390690812,2040,7.5140560276891755
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_preta_parda,Média: População Preta / Parda,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518944,2030,7.998035864902133
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__media_populacao_preta_parda,Média: População Preta / Parda,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518944,2040,9.57976755951999
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,83.33413906069744,2030,89.77895549437869
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,relu,adam,True,83.33413906069744,2040,-42.98680593099289
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.12180147649684026,2030,4.397042932464107
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,identity,adam,True,0.12180147649684026,2040,4.670862352657443
