municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santana do Araguaia,dados_santana_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.40683717139227604,2030,9.446062915152297
Santana do Araguaia,dados_santana_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.40683717139227604,2040,10.586030032221542
Santana do Araguaia,dados_santana_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,7.417160312385477,2030,365.00000685075423
Santana do Araguaia,dados_santana_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,7.417160312385477,2040,395.86786977019074
Santana do Araguaia,dados_santana_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,1.574657346524339,2030,29.703097847269927
Santana do Araguaia,dados_santana_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,1.574657346524339,2040,36.69679059689752
Santana do Araguaia,dados_santana_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.3813087806478224,2030,8.927161543327491
Santana do Araguaia,dados_santana_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.3813087806478224,2040,10.02542710426104
Santana do Araguaia,dados_santana_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,0.43757963330507677,2030,10.750228470096289
Santana do Araguaia,dados_santana_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,0.43757963330507677,2040,12.838615672502007
Santana do Araguaia,dados_santana_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.30891366154988475,2030,2.365074197921512
Santana do Araguaia,dados_santana_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santana_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.30891366154988475,2040,1.8224503803241077
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,1.5273274836797839,2030,88.40679814073798
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,adam,True,1.5273274836797839,2040,105.02669899059812
Santana do Araguaia,dados_santana_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santana_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,4.0705525963969205,2030,91.92268137984945
Santana do Araguaia,dados_santana_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santana_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,4.0705525963969205,2040,93.17759004757366
Santana do Araguaia,dados_santana_do_araguaia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,1.5689101568297257,2030,30.070573053147555
Santana do Araguaia,dados_santana_do_araguaia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santana_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,1.5689101568297257,2040,37.09671284170918
Santana do Araguaia,dados_santana_do_araguaia__2_trabalhos,2 trabalhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7004243469943375,2030,9.732044679892166
Santana do Araguaia,dados_santana_do_araguaia__2_trabalhos,2 trabalhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7004243469943375,2040,11.555395130323094
Santana do Araguaia,dados_santana_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.03038451198670115,2030,1.3499573047176505
Santana do Araguaia,dados_santana_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.03038451198670115,2040,1.530579432527025
Santana do Araguaia,dados_santana_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_santana_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.6298450374974559,2030,88.60927675224755
Santana do Araguaia,dados_santana_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_santana_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.6298450374974559,2040,86.32381101453655
Santana do Araguaia,dados_santana_do_araguaia__casais_com_filhos,Casais com filhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,2.1048301534637517,2030,39.21171980649076
Santana do Araguaia,dados_santana_do_araguaia__casais_com_filhos,Casais com filhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,2.1048301534637517,2040,29.700711132545226
Santana do Araguaia,dados_santana_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santana_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.2015886636679586,2030,8.000863121027754
Santana do Araguaia,dados_santana_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santana_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.2015886636679586,2040,8.00002995965808
Santana do Araguaia,dados_santana_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.3094317294785363,2030,16.117253449613223
Santana do Araguaia,dados_santana_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.3094317294785363,2040,19.309693707403188
Santana do Araguaia,dados_santana_do_araguaia__conta_propria,Conta própria,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.8510297641776665,2030,19.22226878280198
Santana do Araguaia,dados_santana_do_araguaia__conta_propria,Conta própria,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.8510297641776665,2040,23.28374246094909
Santana do Araguaia,dados_santana_do_araguaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santana_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.24403933590364288,2030,25.995374255218586
