municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santarem,educacao__anos_de_estudo_media,Anos de Estudo (Média),educacao,Grupo 1 — 4 censos,identity,adam,True,0.2955733506599345,2030,10.631081342947613
Santarem,educacao__anos_de_estudo_media,Anos de Estudo (Média),educacao,Grupo 1 — 4 censos,identity,adam,True,0.2955733506599345,2040,12.248651980953422
Santarem,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,tanh,lbfgs,True,155.14775128395638,2030,538.9123216801432
Santarem,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,tanh,lbfgs,True,155.14775128395638,2040,526.1925178930709
Santarem,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,relu,adam,True,7.459827328242561,2030,133.46171321215286
Santarem,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,relu,adam,True,7.459827328242561,2040,153.18556407588358
Santarem,educacao__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,educacao,Grupo 1 — 4 censos,identity,adam,True,0.22269065010541622,2030,10.145765727136883
Santarem,educacao__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,educacao,Grupo 1 — 4 censos,identity,adam,True,0.22269065010541622,2040,11.697314370625609
Santarem,educacao__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,educacao,Grupo 1 — 4 censos,relu,adam,True,0.32264985294778104,2030,10.47657579536741
Santarem,educacao__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,educacao,Grupo 1 — 4 censos,relu,adam,True,0.32264985294778104,2040,11.406457873119649
Santarem,domicilios__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,domicilios,Grupo 1 — 4 censos,logistic,lbfgs,True,0.10491825222772877,2030,2.965908879500482
Santarem,domicilios__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,domicilios,Grupo 1 — 4 censos,logistic,lbfgs,True,0.10491825222772877,2040,2.8887125310689097
Santarem,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,relu,lbfgs,True,7.993233588556812,2030,357.78635072549713
Santarem,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,relu,lbfgs,True,7.993233588556812,2040,390.0988248723452
Santarem,educacao__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),educacao,Grupo 1 — 4 censos,logistic,lbfgs,True,1.2436037741242743,2030,95.3154788369975
Santarem,educacao__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),educacao,Grupo 1 — 4 censos,logistic,lbfgs,True,1.2436037741242743,2040,95.74686631420563
Santarem,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,relu,adam,True,7.301478371152797,2030,134.0466505921695
Santarem,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,relu,adam,True,7.301478371152797,2040,153.71348070223752
Santarem,trabalhoerendimento__2_trabalhos,2 trabalhos,trabalhoerendimento,Grupo 2 — 3 censos,logistic,sgd,True,0.808650793234284,2030,5.506044838662272
Santarem,trabalhoerendimento__2_trabalhos,2 trabalhos,trabalhoerendimento,Grupo 2 — 3 censos,logistic,sgd,True,0.808650793234284,2040,5.503894569431605
Santarem,trabalhoerendimento__3_ou_mais_trabalhos,3 ou mais trabalhos,trabalhoerendimento,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033912,2030,0.800861854514785
Santarem,trabalhoerendimento__3_ou_mais_trabalhos,3 ou mais trabalhos,trabalhoerendimento,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033912,2040,0.8005656022837713
