municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santarém Novo,dados_santarem_novo__anos_de_estudo_media,Anos de Estudo (Média),dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2030,9.9519456444278
Santarém Novo,dados_santarem_novo__anos_de_estudo_media,Anos de Estudo (Média),dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2040,11.550753376064177
Santarém Novo,dados_santarem_novo__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2030,9.508635216364182
Santarém Novo,dados_santarem_novo__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2040,11.068962521087636
Santarém Novo,dados_santarem_novo__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2030,10.39525598673518
Santarém Novo,dados_santarem_novo__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santarem_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2040,12.032544198956307
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,0.15721556741220954,2030,5.96909939257982
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,0.15721556741220954,2040,5.8862173645912925
Santarém Novo,dados_santarem_novo__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santarem_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2030,91.98982602353193
Santarém Novo,dados_santarem_novo__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santarem_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2040,93.07197826195961
