municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Santo Antônio do Tauá,dados_santo_antonio_do_taua__anos_de_estudo_media,Anos de Estudo (Média),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.28470389100234605,2030,9.045043438771424
Santo Antônio do Tauá,dados_santo_antonio_do_taua__anos_de_estudo_media,Anos de Estudo (Média),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.28470389100234605,2040,10.259115816056735
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,15.817786747111093,2030,218.85374397213357
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,15.817786747111093,2040,228.06149377296052
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.6222623783007272,2030,12.05349057714203
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.6222623783007272,2040,13.839022206063799
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.30467075958946843,2030,8.51084181198297
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.30467075958946843,2040,9.679639982232022
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.3122744780996144,2030,9.57664528014828
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.3122744780996144,2040,10.8393820032
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,0.12026365796482774,2030,2.648040331172032
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,0.12026365796482774,2040,2.46564969904991
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,identity,lbfgs,True,0.15904124602486913,2030,33.840367765160316
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,identity,lbfgs,True,0.15904124602486913,2040,37.35293398967791
Santo Antônio do Tauá,dados_santo_antonio_do_taua__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,1.6987196149451815,2030,91.36963967678048
Santo Antônio do Tauá,dados_santo_antonio_do_taua__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_santo_antonio_do_taua,Grupo 1 — 4 censos,logistic,lbfgs,True,1.6987196149451815,2040,92.65138100282347
Santo Antônio do Tauá,dados_santo_antonio_do_taua__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.638533155210385,2030,12.262703063580428
Santo Antônio do Tauá,dados_santo_antonio_do_taua__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,relu,adam,True,0.638533155210385,2040,14.066092873577185
Santo Antônio do Tauá,dados_santo_antonio_do_taua__2_trabalhos,2 trabalhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,lbfgs,True,0.8612198627646563,2030,8.892027685549163
Santo Antônio do Tauá,dados_santo_antonio_do_taua__2_trabalhos,2 trabalhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,lbfgs,True,0.8612198627646563,2040,10.236748943336
Santo Antônio do Tauá,dados_santo_antonio_do_taua__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.1575053517796441,2030,1.220162217610323
Santo Antônio do Tauá,dados_santo_antonio_do_taua__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.1575053517796441,2040,1.2453054962480001
Santo Antônio do Tauá,dados_santo_antonio_do_taua__apenas_1_trabalho,Apenas 1 trabalho,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,lbfgs,True,0.531637030759228,2030,89.47016090841964
Santo Antônio do Tauá,dados_santo_antonio_do_taua__apenas_1_trabalho,Apenas 1 trabalho,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,lbfgs,True,0.531637030759228,2040,87.51218550743019
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_com_filhos,Casais com filhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,2.135334910402231,2030,38.26116459894246
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_com_filhos,Casais com filhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,2.135334910402231,2040,28.568837222547426
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,0.2971637014684469,2030,8.100591409034125
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,0.2971637014684469,2040,8.09941039984449
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_sem_filhos,Casais sem filhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.9746752405247502,2030,15.572613093515127
Santo Antônio do Tauá,dados_santo_antonio_do_taua__casais_sem_filhos,Casais sem filhos,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.9746752405247502,2040,18.758816594793927
Santo Antônio do Tauá,dados_santo_antonio_do_taua__conta_propria,Conta própria,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.4941217534682731,2030,7.380403388903988
Santo Antônio do Tauá,dados_santo_antonio_do_taua__conta_propria,Conta própria,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.4941217534682731,2040,7.946151469793069
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.2440393359036482,2030,25.395374255218584
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.2440393359036482,2040,29.94488732931669
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2030,27.047045767201872
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2040,31.14050854135681
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,3.141993814080314,2030,11.092869330121498
Santo Antônio do Tauá,dados_santo_antonio_do_taua__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,3.141993814080314,2040,-1.5829941958102225
Santo Antônio do Tauá,dados_santo_antonio_do_taua__empregador,Empregador,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,48.64156203372536,2030,740.2804577578152
Santo Antônio do Tauá,dados_santo_antonio_do_taua__empregador,Empregador,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,48.64156203372536,2040,929.6838114924167
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,4.648840633948026,2030,97.56249957240526
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,4.648840633948026,2040,99.74035584893824
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,5.811676187885854,2030,80.11215132691456
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,5.811676187885854,2040,86.96736550696224
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.1548748840446812,2030,29.10183542183428
Santo Antônio do Tauá,dados_santo_antonio_do_taua__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.1548748840446812,2040,34.96952346524486
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.02668354319920918,2030,0.9023018024283811
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.02668354319920918,2040,1.0619862792848316
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idade_mediana,Idade Mediana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.6750995875190877,2030,35.70464018886804
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idade_mediana,Idade Mediana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.6750995875190877,2040,40.71417399679638
Santo Antônio do Tauá,dados_santo_antonio_do_taua__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,22.841069700032858,2030,226.89825197485774
Santo Antônio do Tauá,dados_santo_antonio_do_taua__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,22.841069700032858,2040,290.6842090145694
Santo Antônio do Tauá,dados_santo_antonio_do_taua__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.1575091695450308,2030,27.866350079030433
Santo Antônio do Tauá,dados_santo_antonio_do_taua__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,1.1575091695450308,2040,31.96115024929078
Santo Antônio do Tauá,dados_santo_antonio_do_taua__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,0.4024792158418835,2030,4.70268642233628
Santo Antônio do Tauá,dados_santo_antonio_do_taua__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,0.4024792158418835,2040,4.7014974350075045
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_amarela,Média: População Amarela,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.06037388114835096,2030,9.694855786563718
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_amarela,Média: População Amarela,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.06037388114835096,2040,11.55016647240431
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_branca,Média: População Branca,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.06037388114835096,2030,9.594855786563718
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_branca,Média: População Branca,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.06037388114835096,2040,11.450166472404309
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_indigena,Média: População Indígena,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.06100960568243267,2030,7.498818306880748
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_indigena,Média: População Indígena,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.06100960568243267,2040,9.136203416542726
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_preta_parda,Média: População Preta / Parda,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.030504346254260312,2030,9.249358619140873
Santo Antônio do Tauá,dados_santo_antonio_do_taua__media_populacao_preta_parda,Média: População Preta / Parda,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.030504346254260312,2040,11.068064873445863
Santo Antônio do Tauá,dados_santo_antonio_do_taua__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,461.65532366613485,2030,424.1128391366139
Santo Antônio do Tauá,dados_santo_antonio_do_taua__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,461.65532366613485,2040,422.7357490251605
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.045576767980051315,2030,4.424935957076476
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.045576767980051315,2040,4.695869148790537
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,sgd,True,0.030370808233056785,2030,2.168974426752009
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,sgd,True,0.030370808233056785,2040,2.502782091398335
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_amarela,População Amarela,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,2.71329649070625,2030,18.347097214794633
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_amarela,População Amarela,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,2.71329649070625,2040,13.308568824919227
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_branca,População Branca,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.09135249099616367,2030,4.426882895048144
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_branca,População Branca,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,relu,adam,True,0.09135249099616367,2040,4.309673730853715
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_indigena,População Indígena,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,15.640105353047161,2030,39.74566381829782
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_indigena,População Indígena,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,15.640105353047161,2040,39.692503244155326
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_indigena_total,População Indígena Total,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,15.640105353047161,2030,39.74566381829782
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_indigena_total,População Indígena Total,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,15.640105353047161,2040,39.692503244155326
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_parda,População Parda,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.030503661373825725,2030,26.769282807183473
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_parda,População Parda,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.030503661373825725,2040,30.088009619544465
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_preta,População Preta,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.1522650170485512,2030,2.6661130327605798
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_preta,População Preta,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.1522650170485512,2040,3.0581648241032178
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_rural,População Rural,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.015557390752318767,2030,11.145215752985411
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_rural,População Rural,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,lbfgs,True,0.015557390752318767,2040,10.997743386527254
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_urbana,População Urbana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,sgd,True,0.36188726029221147,2030,22.89159989616517
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_urbana,População Urbana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,sgd,True,0.36188726029221147,2040,26.706788756410752
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_com_superior_completo,População com Superior Completo,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,526.777509344049,2030,370.01424085878267
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_com_superior_completo,População com Superior Completo,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,logistic,sgd,True,526.777509344049,2040,368.2226587096705
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_homens,População de Homens,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.01754620781735324,2030,16.64561768699644
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_homens,População de Homens,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.01754620781735324,2040,18.191486065843556
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_mulheres,População de Mulheres,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,identity,adam,True,0.39613139859226604,2030,17.156593311791294
