municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Sapucaia,dados_sapucaia__2_trabalhos,2 trabalhos,dados_sapucaia,Grupo 2 — 3 censos,relu,sgd,True,0.7336134449745586,2030,5.263881579859012
Sapucaia,dados_sapucaia__2_trabalhos,2 trabalhos,dados_sapucaia,Grupo 2 — 3 censos,relu,sgd,True,0.7336134449745586,2040,6.041010601012396
Sapucaia,dados_sapucaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841976,2030,0.6985214662320534
Sapucaia,dados_sapucaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841976,2040,0.8354311763287217
Sapucaia,dados_sapucaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,0.2886528638736621,2030,8.22459439481768
Sapucaia,dados_sapucaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,0.2886528638736621,2040,9.940504609006737
Sapucaia,dados_sapucaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sapucaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.6840058871107288,2030,93.54216210658188
Sapucaia,dados_sapucaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sapucaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.6840058871107288,2040,92.0634166077699
Sapucaia,dados_sapucaia__casais_com_filhos,Casais com filhos,dados_sapucaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.8541299864312014,2030,36.384352389596884
Sapucaia,dados_sapucaia__casais_com_filhos,Casais com filhos,dados_sapucaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.8541299864312014,2040,26.307443645443055
Sapucaia,dados_sapucaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sapucaia,Grupo 2 — 3 censos,logistic,sgd,True,0.9245119361409184,2030,7.336085930129405
Sapucaia,dados_sapucaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sapucaia,Grupo 2 — 3 censos,logistic,sgd,True,0.9245119361409184,2040,7.332262399587292
Sapucaia,dados_sapucaia__casais_sem_filhos,Casais sem filhos,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.0812844610282422,2030,17.644560972766385
Sapucaia,dados_sapucaia__casais_sem_filhos,Casais sem filhos,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.0812844610282422,2040,21.194814346556406
Sapucaia,dados_sapucaia__conta_propria,Conta própria,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,30.384511986701188,2030,1129.9573047176505
Sapucaia,dados_sapucaia__conta_propria,Conta própria,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,30.384511986701188,2040,1310.5794325270251
Sapucaia,dados_sapucaia__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2030,47.49786523588253
Sapucaia,dados_sapucaia__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2040,56.52897162635126
Sapucaia,dados_sapucaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sapucaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.007626086563565189,2030,2.4623396547852185
Sapucaia,dados_sapucaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sapucaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.007626086563565189,2040,2.917016218361466
Sapucaia,dados_sapucaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.401243836813725,2030,25.658605681035095
Sapucaia,dados_sapucaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.401243836813725,2040,30.79890874798721
Sapucaia,dados_sapucaia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sapucaia,Grupo 2 — 3 censos,identity,adam,True,1.0032157526612107,2030,26.355562510271064
