municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.9310965741072904,2030,8.245950742918222
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.9310965741072904,2040,9.72331548073159
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958867005,2030,0.8266041579919954
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958867005,2040,0.8371422561639152
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390294,2030,8.427828091854666
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.47122336434390294,2040,10.231552920500318
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.850139826911132,2030,90.49270785727694
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.850139826911132,2040,88.31005755541732
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,1.8455384363479723,2030,40.89141611392194
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,1.8455384363479723,2040,30.92162750121292
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.5312441230370908,2030,7.437279685083232
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.5312441230370908,2040,7.435976723324021
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.0050597525114522,2030,13.822784113320822
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.0050597525114522,2040,16.828504398077833
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__conta_propria,Conta própria,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.35931477656573385,2030,5.427862642084932
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__conta_propria,Conta própria,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.35931477656573385,2040,5.642352380375068
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,5.361021267699272,2030,129.93035808816387
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,5.361021267699272,2040,130.220946714367
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.0528962959991904,2030,8.78888061236147
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.0528962959991904,2040,10.15081210013095
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.09009982175996356,2030,23.43640846018914
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.09009982175996356,2040,27.96248057925196
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4248563107137458,2030,26.0925925238395
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4248563107137458,2040,30.613321715655204
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,1.1744292927160498,2030,14.60350338068778
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,1.1744292927160498,2040,1.6227515235866434
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__empregador,Empregador,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,13.659858966513772,2030,517.3102763877444
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__empregador,Empregador,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,13.659858966513772,2040,648.3904327565418
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,logistic,adam,True,7.620255347431495,2030,96.50805734950609
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,logistic,adam,True,7.620255347431495,2040,97.72814218557754
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,5.022804688983105,2030,72.53330513811757
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,5.022804688983105,2040,79.54938675674673
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.002952324111173,2030,22.9520515240974
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.002952324111173,2040,27.916631759999003
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__idade_mediana,Idade Mediana,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,2.4360295299367913,2030,34.940858649282134
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__idade_mediana,Idade Mediana,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,2.4360295299367913,2040,40.41724705314886
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,18.27022147452594,2030,139.55643986961604
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,18.27022147452594,2040,180.6293528986165
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.370464182001972,2030,23.613895118491467
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,1.370464182001972,2040,27.44105254087416
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,lbfgs,True,0.6608018283285465,2030,4.492619828396896
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,lbfgs,True,0.6608018283285465,2040,4.472980356399202
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4560311083505512,2030,7.852851827149065
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4560311083505512,2040,9.566268189492945
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4864156203372536,2030,9.002804577578152
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.4864156203372536,2040,10.896838114924167
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.27132964907062496,2030,2.6347097214794633
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.27132964907062496,2040,2.130856882491923
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_amarela,Média: População Amarela,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.6297178458172823,2030,8.124118479013326
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_amarela,Média: População Amarela,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.6297178458172823,2040,9.133400664408677
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_branca,Média: População Branca,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.547316358585674,2030,8.704502351582441
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_branca,Média: População Branca,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.547316358585674,2040,10.461862841720134
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_indigena,Média: População Indígena,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.2582683518869601,2030,6.374637090100029
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_indigena,Média: População Indígena,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.2582683518869601,2040,7.909925176479712
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_preta_parda,Média: População Preta / Parda,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.37993811410878225,2030,8.076200029443442
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__media_populacao_preta_parda,Média: População Preta / Parda,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.37993811410878225,2040,9.836005399351055
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,251.5369776618003,2030,577.5248407343049
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,251.5369776618003,2040,604.2691472122817
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348898,2030,4.171948028113822
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348898,2040,4.535998066656155
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.18243878619522447,2030,2.7015007838608134
