municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São Francisco do Pará,dados_sao_francisco_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409427,2030,10.151945644427801
São Francisco do Pará,dados_sao_francisco_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409427,2040,11.750753376064177
São Francisco do Pará,dados_sao_francisco_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297236,2030,9.708635216364183
São Francisco do Pará,dados_sao_francisco_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297236,2040,11.268962521087637
São Francisco do Pará,dados_sao_francisco_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106307,2030,10.595255986735179
São Francisco do Pará,dados_sao_francisco_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_francisco_do_para,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106307,2040,12.232544198956308
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,tanh,sgd,True,0.5683734202106558,2030,15.688468135905223
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,tanh,sgd,True,0.5683734202106558,2040,15.744183514455896
São Francisco do Pará,dados_sao_francisco_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_sao_francisco_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,1.6769957045135584,2030,93.08375183461533
São Francisco do Pará,dados_sao_francisco_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_sao_francisco_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,1.6769957045135584,2040,94.5349231638016
São Francisco do Pará,dados_sao_francisco_do_para__2_trabalhos,2 trabalhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.6017229378922558,2030,5.917859808689384
São Francisco do Pará,dados_sao_francisco_do_para__2_trabalhos,2 trabalhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.6017229378922558,2040,6.877456385608177
São Francisco do Pará,dados_sao_francisco_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2030,0.7985214662320534
São Francisco do Pará,dados_sao_francisco_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2040,0.9354311763287215
São Francisco do Pará,dados_sao_francisco_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.5571580496623909,2030,93.06214589205183
São Francisco do Pará,dados_sao_francisco_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.5571580496623909,2040,91.60713002530694
São Francisco do Pará,dados_sao_francisco_do_para__casais_com_filhos,Casais com filhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2030,33.272232613466215
São Francisco do Pará,dados_sao_francisco_do_para__casais_com_filhos,Casais com filhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2040,24.206295426325948
São Francisco do Pará,dados_sao_francisco_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_francisco_do_para,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397937,2030,7.9043156051387715
São Francisco do Pará,dados_sao_francisco_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_francisco_do_para,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397937,2040,7.900149798290406
São Francisco do Pará,dados_sao_francisco_do_para__casais_sem_filhos,Casais sem filhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,sgd,True,0.28614946661986806,2030,21.001232390439746
São Francisco do Pará,dados_sao_francisco_do_para__casais_sem_filhos,Casais sem filhos,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,sgd,True,0.28614946661986806,2040,24.958015464900022
São Francisco do Pará,dados_sao_francisco_do_para__conta_propria,Conta própria,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10471359338032553,2030,2.306094079347316
São Francisco do Pará,dados_sao_francisco_do_para__conta_propria,Conta própria,dados_sao_francisco_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10471359338032553,2040,2.4242002182789486
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.1516024900496783e-05,2030,40.000014272457676
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.1516024900496783e-05,2040,40.000018861500116
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,0.024070523894329288,2030,6.116935033834999
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,0.024070523894329288,2040,7.157877388001623
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,1.2946346163102351,2030,27.586658095692606
São Francisco do Pará,dados_sao_francisco_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_francisco_do_para,Grupo 2 — 3 censos,identity,adam,True,1.2946346163102351,2040,32.362911612839156
