municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.21122932712278042,2030,8.664085371548898
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.21122932712278042,2040,10.494713389171709
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,tanh,lbfgs,True,10.658970785048638,2030,136.37591156783975
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,tanh,lbfgs,True,10.658970785048638,2040,134.99851546842618
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,0.10199039513808494,2030,9.021403059763792
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,0.10199039513808494,2040,10.159104382969483
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696677,2030,8.079670682386345
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696677,2040,9.813628795262852
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.224699629207536,2030,9.248500055202074
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.224699629207536,2040,11.17579798104796
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.1864259386948911,2030,2.83445463789878
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.1864259386948911,2040,2.7383022290366563
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,1.5504177793066765,2030,23.17795214455051
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,1.5504177793066765,2040,21.95657759163912
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,5.4075499427315865,2030,87.28516559525812
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,5.4075499427315865,2040,88.81020090646892
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,0.0846223070038643,2030,9.169994109233361
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,identity,sgd,True,0.0846223070038643,2040,10.307105383505728
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.9310965741072906,2030,8.345950742918223
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.9310965741072906,2040,9.82331548073159
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033919,2030,0.7008618545147849
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033919,2040,0.7005656022837713
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.8828005734134573,2030,90.39189718268563
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,relu,lbfgs,True,0.8828005734134573,2040,88.20864853792027
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,2.943713856334097,2030,39.571480567147916
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,2.943713856334097,2040,29.57417580606793
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.4986138160518386,2030,7.703664343880824
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.4986138160518386,2040,7.702354663663743
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.6703032635576713,2030,14.078279552200115
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.6703032635576713,2040,17.077916470591347
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__conta_propria,Conta própria,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.09144330736514188,2030,6.266533611183533
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__conta_propria,Conta própria,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.09144330736514188,2040,6.8204391982618136
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.3944717987270459,2030,23.342638451908485
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.3944717987270459,2040,27.68274897805368
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7596127996675287,2030,26.548932617941265
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7596127996675287,2040,31.06448581317563
