municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São João da Ponta,dados_sao_joao_da_ponta__2_trabalhos,2 trabalhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287942,2030,5.574888374478784
São João da Ponta,dados_sao_joao_da_ponta__2_trabalhos,2 trabalhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287942,2040,6.483449107842969
São João da Ponta,dados_sao_joao_da_ponta__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838691,2030,0.739906236987993
São João da Ponta,dados_sao_joao_da_ponta__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838691,2040,0.7557133842458725
São João da Ponta,dados_sao_joao_da_ponta__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.3038451198670116,2030,8.699573047176505
São João da Ponta,dados_sao_joao_da_ponta__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.3038451198670116,2040,10.505794325270251
São João da Ponta,dados_sao_joao_da_ponta__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,lbfgs,True,0.6840058871107288,2030,93.34216210658188
São João da Ponta,dados_sao_joao_da_ponta__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,lbfgs,True,0.6840058871107288,2040,91.86341660776989
São João da Ponta,dados_sao_joao_da_ponta__casais_com_filhos,Casais com filhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,lbfgs,True,1.067664247354595,2030,35.73049845274903
São João da Ponta,dados_sao_joao_da_ponta__casais_com_filhos,Casais com filhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,lbfgs,True,1.067664247354595,2040,25.884354838036607
São João da Ponta,dados_sao_joao_da_ponta__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,0.9575306056808829,2030,7.469677326996134
São João da Ponta,dados_sao_joao_da_ponta__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,0.9575306056808829,2040,7.465678010194771
São João da Ponta,dados_sao_joao_da_ponta__casais_sem_filhos,Casais sem filhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.5639574716042149,2030,18.30287975623004
São João da Ponta,dados_sao_joao_da_ponta__casais_sem_filhos,Casais sem filhos,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.5639574716042149,2040,21.93442605386033
São João da Ponta,dados_sao_joao_da_ponta__conta_propria,Conta própria,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,560.6221725334772,2030,568.0590149548652
São João da Ponta,dados_sao_joao_da_ponta__conta_propria,Conta própria,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,560.6221725334772,2040,565.832198042177
São João da Ponta,dados_sao_joao_da_ponta__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2030,47.49786523588253
São João da Ponta,dados_sao_joao_da_ponta__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2040,56.52897162635126
São João da Ponta,dados_sao_joao_da_ponta__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.05619817574789517,2030,2.3972494096553114
São João da Ponta,dados_sao_joao_da_ponta__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.05619817574789517,2040,2.7811993723498896
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,1.1729648540884134,2030,24.987867799576428
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,1.1729648540884134,2040,29.988259476061714
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.8358375081843157,2030,26.12729060232455
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.8358375081843157,2040,30.098453725987795
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,4.777763661004336,2030,15.398258134388652
São João da Ponta,dados_sao_joao_da_ponta__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,4.777763661004336,2040,6.24474165980909
São João da Ponta,dados_sao_joao_da_ponta__empregador,Empregador,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,sgd,True,1.5185404116528443,2030,78.44872133760045
São João da Ponta,dados_sao_joao_da_ponta__empregador,Empregador,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,sgd,True,1.5185404116528443,2040,95.13910456991674
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,adam,True,5.406859750570405,2030,97.86689851903658
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,adam,True,5.406859750570405,2040,98.75757865544546
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,3.7070621204413308,2030,80.51191517718856
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,3.7070621204413308,2040,85.06779664776644
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,2.620537237775853,2030,19.45311710477784
São João da Ponta,dados_sao_joao_da_ponta__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,logistic,sgd,True,2.620537237775853,2040,19.44697032275996
São João da Ponta,dados_sao_joao_da_ponta__idade_mediana,Idade Mediana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.7622470851678784,2030,37.21825763972987
São João da Ponta,dados_sao_joao_da_ponta__idade_mediana,Idade Mediana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,identity,adam,True,0.7622470851678784,2040,42.66412589942698
São João da Ponta,dados_sao_joao_da_ponta__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,2.5374548973666493,2030,23.792115731400767
São João da Ponta,dados_sao_joao_da_ponta__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,relu,adam,True,2.5374548973666493,2040,25.84463849034543
