municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São João de Pirabas,dados_sao_joao_de_pirabas__2_trabalhos,2 trabalhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,0.881117941044133,2030,7.736416305779036
São João de Pirabas,dados_sao_joao_de_pirabas__2_trabalhos,2 trabalhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,0.881117941044133,2040,9.105359693882761
São João de Pirabas,dados_sao_joao_de_pirabas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841987,2030,0.8985214662320534
São João de Pirabas,dados_sao_joao_de_pirabas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.06090073824841987,2040,1.0354311763287214
São João de Pirabas,dados_sao_joao_de_pirabas__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.24294438161859291,2030,8.69794791243541
São João de Pirabas,dados_sao_joao_de_pirabas__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.24294438161859291,2040,10.64092111581735
São João de Pirabas,dados_sao_joao_de_pirabas__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,0.7535740631388611,2030,90.9546471002982
São João de Pirabas,dados_sao_joao_de_pirabas__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,0.7535740631388611,2040,88.849234922477
São João de Pirabas,dados_sao_joao_de_pirabas__casais_com_filhos,Casais com filhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,lbfgs,True,1.372712779093457,2030,41.02497520019901
São João de Pirabas,dados_sao_joao_de_pirabas__casais_com_filhos,Casais com filhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,lbfgs,True,1.372712779093457,2040,30.865639572217788
São João de Pirabas,dados_sao_joao_de_pirabas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,tanh,lbfgs,True,0.4413291402146691,2030,7.581661300625744
São João de Pirabas,dados_sao_joao_de_pirabas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,tanh,lbfgs,True,0.4413291402146691,2040,7.563397183714335
São João de Pirabas,dados_sao_joao_de_pirabas__casais_sem_filhos,Casais sem filhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,1.6423805376824763,2030,13.868865443370913
São João de Pirabas,dados_sao_joao_de_pirabas__casais_sem_filhos,Casais sem filhos,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,relu,lbfgs,True,1.6423805376824763,2040,16.43590714145257
São João de Pirabas,dados_sao_joao_de_pirabas__conta_propria,Conta própria,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.20221506184158353,2030,5.339330991314725
São João de Pirabas,dados_sao_joao_de_pirabas__conta_propria,Conta própria,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,0.20221506184158353,2040,5.942940263313504
São João de Pirabas,dados_sao_joao_de_pirabas__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,identity,adam,True,3.038451198670122,2030,154.99573047176506
