municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São João do Araguaia,dados_sao_joao_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2030,3.4398857191725694
São João do Araguaia,dados_sao_joao_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2040,3.437767721060969
São João do Araguaia,dados_sao_joao_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2030,0.6266041579919953
São João do Araguaia,dados_sao_joao_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2040,0.6371422561639152
São João do Araguaia,dados_sao_joao_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2030,8.473013772284235
São João do Araguaia,dados_sao_joao_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2040,10.145055732181
São João do Araguaia,dados_sao_joao_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.9905460319274321,2030,96.1020749671602
São João do Araguaia,dados_sao_joao_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,0.9905460319274321,2040,96.09813159297808
São João do Araguaia,dados_sao_joao_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.8998874426235991,2030,36.058530644596075
São João do Araguaia,dados_sao_joao_do_araguaia__casais_com_filhos,Casais com filhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,lbfgs,True,0.8998874426235991,2040,26.209642593319817
São João do Araguaia,dados_sao_joao_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,1.023566863663003,2030,7.536412331420504
São João do Araguaia,dados_sao_joao_do_araguaia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,logistic,sgd,True,1.023566863663003,2040,7.532171602957634
São João do Araguaia,dados_sao_joao_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7465279720744586,2030,17.900095670003456
São João do Araguaia,dados_sao_joao_do_araguaia__casais_sem_filhos,Casais sem filhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,identity,adam,True,0.7465279720744586,2040,21.444309007395837
São João do Araguaia,dados_sao_joao_do_araguaia__conta_propria,Conta própria,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,relu,adam,True,0.10342081840057397,2030,2.1478844592947226
