municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,lbfgs,True,0.3285303747284235,2030,7.92381814614421
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__anos_de_estudo_media,Anos de Estudo (Média),dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,lbfgs,True,0.3285303747284235,2040,9.557731263995686
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,logistic,sgd,True,10.09857322624925,2030,145.05854524030065
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,logistic,sgd,True,10.09857322624925,2040,145.02625196018687
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,identity,adam,True,0.14874981058234116,2030,8.415169006964838
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,identity,adam,True,0.14874981058234116,2040,9.824520117724834
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,logistic,lbfgs,True,0.28988257433573755,2030,7.006721331456239
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,logistic,lbfgs,True,0.28988257433573755,2040,7.48932477830568
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,adam,True,0.32062015836705715,2030,7.949875650924813
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,adam,True,0.32062015836705715,2040,9.088459536781414
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,adam,True,0.1763238972520773,2030,2.819648162220708
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,relu,adam,True,0.1763238972520773,2040,2.2925841405397223
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__populacao_total,População Total,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,tanh,lbfgs,True,0.5420360573520426,2030,23.959609641997574
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__populacao_total,População Total,dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,tanh,lbfgs,True,0.5420360573520426,2040,23.945979916199605
São Sebastião da Boa Vista,dados_sao_sebastiao_da_boa_vista__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_sao_sebastiao_da_boa_vista,Grupo 1 — 4 censos,logistic,lbfgs,True,1.8774171302022182,2030,85.72311966105553
