municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Tailândia,dados_tailandia__anos_de_estudo_media,Anos de Estudo (Média),dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696594,2030,9.879670682386346
Tailândia,dados_tailandia__anos_de_estudo_media,Anos de Estudo (Média),dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696594,2040,11.613628795262851
Tailândia,dados_tailandia__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_tailandia,Grupo 1 — 4 censos,relu,adam,True,16.204744980238594,2030,368.78836579414315
Tailândia,dados_tailandia__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_tailandia,Grupo 1 — 4 censos,relu,adam,True,16.204744980238594,2040,416.78246278331505
Tailândia,dados_tailandia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tailandia,Grupo 1 — 4 censos,relu,lbfgs,True,2.025813924990608,2030,43.47837396649109
Tailândia,dados_tailandia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tailandia,Grupo 1 — 4 censos,relu,lbfgs,True,2.025813924990608,2040,54.54592444489353
Tailândia,dados_tailandia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.16851525279255664,2030,9.436360326572581
Tailândia,dados_tailandia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.16851525279255664,2040,11.131837967358834
Tailândia,dados_tailandia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.22700265517584295,2030,10.322980961715945
Tailândia,dados_tailandia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tailandia,Grupo 1 — 4 censos,identity,lbfgs,True,0.22700265517584295,2040,12.095419594098962
Tailândia,dados_tailandia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_tailandia,Grupo 1 — 4 censos,identity,sgd,True,0.09932634511523275,2030,2.137394664992583
Tailândia,dados_tailandia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_tailandia,Grupo 1 — 4 censos,identity,sgd,True,0.09932634511523275,2040,1.3826849452013508
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,tanh,lbfgs,True,6.236648893916945,2030,106.06111648107675
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,tanh,lbfgs,True,6.236648893916945,2040,107.9618191701368
Tailândia,dados_tailandia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_tailandia,Grupo 1 — 4 censos,relu,adam,True,2.2789700009282043,2030,96.02574761064811
Tailândia,dados_tailandia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_tailandia,Grupo 1 — 4 censos,relu,adam,True,2.2789700009282043,2040,99.62693768040279
Tailândia,dados_tailandia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_tailandia,Grupo 1 — 4 censos,relu,lbfgs,True,2.041064387416271,2030,43.86303890564314
Tailândia,dados_tailandia__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_tailandia,Grupo 1 — 4 censos,relu,lbfgs,True,2.041064387416271,2040,54.99798604600812
Tailândia,dados_tailandia__2_trabalhos,2 trabalhos,dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,1.3097344894915541,2030,6.1040688004379975
Tailândia,dados_tailandia__2_trabalhos,2 trabalhos,dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,1.3097344894915541,2040,6.212299152516194
Tailândia,dados_tailandia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2030,0.8532083159839907
Tailândia,dados_tailandia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2040,0.8742845123278303
Tailândia,dados_tailandia__apenas_1_trabalho,Apenas 1 trabalho,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,1.6839262001907827,2030,95.10150429589616
Tailândia,dados_tailandia__apenas_1_trabalho,Apenas 1 trabalho,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,1.6839262001907827,2040,95.09478123406528
Tailândia,dados_tailandia__casais_com_filhos,Casais com filhos,dados_tailandia,Grupo 2 — 3 censos,identity,lbfgs,True,1.586248002370804,2030,37.17113642193192
Tailândia,dados_tailandia__casais_com_filhos,Casais com filhos,dados_tailandia,Grupo 2 — 3 censos,identity,lbfgs,True,1.586248002370804,2040,28.74255708816664
Tailândia,dados_tailandia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,0.4024792158418841,2030,7.50268642233628
Tailândia,dados_tailandia__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,0.4024792158418841,2040,7.501497435007504
Tailândia,dados_tailandia__casais_sem_filhos,Casais sem filhos,dados_tailandia,Grupo 2 — 3 censos,identity,sgd,True,0.3964026480925211,2030,18.466013985959727
Tailândia,dados_tailandia__casais_sem_filhos,Casais sem filhos,dados_tailandia,Grupo 2 — 3 censos,identity,sgd,True,0.3964026480925211,2040,22.281772066519917
Tailândia,dados_tailandia__conta_propria,Conta própria,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.18112164344504902,2030,22.904567359691157
Tailândia,dados_tailandia__conta_propria,Conta própria,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.18112164344504902,2040,28.470499417212935
Tailândia,dados_tailandia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,1.0359711215982272,2030,28.465795373507735
Tailândia,dados_tailandia__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,1.0359711215982272,2040,33.28267161071119
Tailândia,dados_tailandia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.6076902397340227,2030,28.19914609435301
Tailândia,dados_tailandia__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.6076902397340227,2040,31.8115886505405
Tailândia,dados_tailandia__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,4.342743492293764,2030,11.726177597205712
Tailândia,dados_tailandia__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,4.342743492293764,2040,4.281435916176466
Tailândia,dados_tailandia__empregador,Empregador,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,530.2951902256137,2030,456.30047670033576
Tailândia,dados_tailandia__empregador,Empregador,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,530.2951902256137,2040,454.30928344357886
Tailândia,dados_tailandia__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_tailandia,Grupo 2 — 3 censos,logistic,adam,True,3.9328992649372907,2030,97.71760825535348
Tailândia,dados_tailandia__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_tailandia,Grupo 2 — 3 censos,logistic,adam,True,3.9328992649372907,2040,98.34993238145765
Tailândia,dados_tailandia__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,3.5349893237372947,2030,82.92831385011587
Tailândia,dados_tailandia__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,3.5349893237372947,2040,86.0409097322803
Tailândia,dados_tailandia__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_tailandia,Grupo 2 — 3 censos,logistic,adam,True,2.703780570772546,2030,29.52175735248671
Tailândia,dados_tailandia__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_tailandia,Grupo 2 — 3 censos,logistic,adam,True,2.703780570772546,2040,29.958887355816362
Tailândia,dados_tailandia__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.02330858601680282,2030,0.9006542907435475
Tailândia,dados_tailandia__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.02330858601680282,2040,1.0597827481102946
Tailândia,dados_tailandia__idade_mediana,Idade Mediana,dados_tailandia,Grupo 2 — 3 censos,relu,lbfgs,True,1.802498913376149,2030,29.355875295257352
Tailândia,dados_tailandia__idade_mediana,Idade Mediana,dados_tailandia,Grupo 2 — 3 censos,relu,lbfgs,True,1.802498913376149,2040,32.20129143360128
Tailândia,dados_tailandia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,416.17551760904945,2030,368.97589609793033
Tailândia,dados_tailandia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,416.17551760904945,2040,367.38556545312474
Tailândia,dados_tailandia__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.33396620330367455,2030,25.246116096846148
Tailândia,dados_tailandia__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.33396620330367455,2040,28.228959150173658
Tailândia,dados_tailandia__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,0.39868751481318104,2030,3.90294056530449
Tailândia,dados_tailandia__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_tailandia,Grupo 2 — 3 censos,logistic,sgd,True,0.39868751481318104,2040,3.901926456337081
Tailândia,dados_tailandia__media_populacao_amarela,Média: População Amarela,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,0.6963669225625013,2030,9.928027981819262
Tailândia,dados_tailandia__media_populacao_amarela,Média: População Amarela,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,0.6963669225625013,2040,10.773635625629185
Tailândia,dados_tailandia__media_populacao_branca,Média: População Branca,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,0.6323033957767855,2030,9.676083142587682
Tailândia,dados_tailandia__media_populacao_branca,Média: População Branca,dados_tailandia,Grupo 2 — 3 censos,relu,adam,True,0.6323033957767855,2040,10.627407408733676
Tailândia,dados_tailandia__media_populacao_indigena,Média: População Indígena,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.07569785141671763,2030,7.971510284892902
Tailândia,dados_tailandia__media_populacao_indigena,Média: População Indígena,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.07569785141671763,2040,9.41909873876066
Tailândia,dados_tailandia__media_populacao_preta_parda,Média: População Preta / Parda,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.3799381141087821,2030,9.676200029443443
Tailândia,dados_tailandia__media_populacao_preta_parda,Média: População Preta / Parda,dados_tailandia,Grupo 2 — 3 censos,identity,adam,True,0.3799381141087821,2040,11.436005399351055
Tailândia,dados_tailandia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,236.6975783525535,2030,543.5536232744671
Tailândia,dados_tailandia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_tailandia,Grupo 2 — 3 censos,tanh,adam,True,236.6975783525535,2040,568.7251760464487
Tailândia,dados_tailandia__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_tailandia,Grupo 2 — 3 censos,identity,sgd,True,0.030370808233056934,2030,4.168974426752009
Tailândia,dados_tailandia__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_tailandia,Grupo 2 — 3 censos,identity,sgd,True,0.030370808233056934,2040,4.502782091398335
