municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Terra Santa,dados_terra_santa__anos_de_estudo_media,Anos de Estudo (Média),dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,0.31746432389131835,2030,8.12713924105648
Terra Santa,dados_terra_santa__anos_de_estudo_media,Anos de Estudo (Média),dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,0.31746432389131835,2040,8.453220955702815
Terra Santa,dados_terra_santa__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_terra_santa,Grupo 1 — 4 censos,logistic,sgd,True,10.009350956997036,2030,107.57103097914057
Terra Santa,dados_terra_santa__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_terra_santa,Grupo 1 — 4 censos,logistic,sgd,True,10.009350956997036,2040,107.54346215840411
Terra Santa,dados_terra_santa__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_terra_santa,Grupo 1 — 4 censos,relu,lbfgs,True,0.29342446374325715,2030,6.740415938828733
Terra Santa,dados_terra_santa__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_terra_santa,Grupo 1 — 4 censos,relu,lbfgs,True,0.29342446374325715,2040,7.971313468805123
Terra Santa,dados_terra_santa__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3398288465765342,2030,7.552991129072241
Terra Santa,dados_terra_santa__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3398288465765342,2040,7.817639234445902
Terra Santa,dados_terra_santa__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_terra_santa,Grupo 1 — 4 censos,identity,lbfgs,True,0.33335770100228324,2030,9.836154201908396
Terra Santa,dados_terra_santa__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_terra_santa,Grupo 1 — 4 censos,identity,lbfgs,True,0.33335770100228324,2040,11.80991090910522
Terra Santa,dados_terra_santa__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_terra_santa,Grupo 1 — 4 censos,identity,lbfgs,True,0.07611678560271251,2030,2.666740642452525
Terra Santa,dados_terra_santa__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_terra_santa,Grupo 1 — 4 censos,identity,lbfgs,True,0.07611678560271251,2040,1.9210789188000628
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,identity,adam,True,0.19809728702375562,2030,20.401647580764102
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,identity,adam,True,0.19809728702375562,2040,22.20187590182507
Terra Santa,dados_terra_santa__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,2.478210709899102,2030,90.25284113425623
Terra Santa,dados_terra_santa__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_terra_santa,Grupo 1 — 4 censos,logistic,lbfgs,True,2.478210709899102,2040,91.44770461440069
Terra Santa,dados_terra_santa__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_terra_santa,Grupo 1 — 4 censos,relu,lbfgs,True,0.28479884350215523,2030,6.833428267834659
Terra Santa,dados_terra_santa__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_terra_santa,Grupo 1 — 4 censos,relu,lbfgs,True,0.28479884350215523,2040,8.057328691491914
Terra Santa,dados_terra_santa__2_trabalhos,2 trabalhos,dados_terra_santa,Grupo 2 — 3 censos,relu,lbfgs,True,0.7911097140575579,2030,7.418377894595608
Terra Santa,dados_terra_santa__2_trabalhos,2 trabalhos,dados_terra_santa,Grupo 2 — 3 censos,relu,lbfgs,True,0.7911097140575579,2040,8.660057272759982
