municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Tracuateua,dados_tracuateua__2_trabalhos,2 trabalhos,dados_tracuateua,Grupo 2 — 3 censos,identity,adam,True,0.7611933709677392,2030,8.032497613656904
Tracuateua,dados_tracuateua__2_trabalhos,2 trabalhos,dados_tracuateua,Grupo 2 — 3 censos,identity,adam,True,0.7611933709677392,2040,9.495015659045189
Tracuateua,dados_tracuateua__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_tracuateua,Grupo 2 — 3 censos,relu,adam,True,0.15750535177964411,2030,1.020162217610323
Tracuateua,dados_tracuateua__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_tracuateua,Grupo 2 — 3 censos,relu,adam,True,0.15750535177964411,2040,1.045305496248
Tracuateua,dados_tracuateua__anos_de_estudo_media,Anos de Estudo (Média),dados_tracuateua,Grupo 2 — 3 censos,identity,adam,True,0.30384511986701207,2030,8.399573047176506
Tracuateua,dados_tracuateua__anos_de_estudo_media,Anos de Estudo (Média),dados_tracuateua,Grupo 2 — 3 censos,identity,adam,True,0.30384511986701207,2040,10.20579432527025
Tracuateua,dados_tracuateua__apenas_1_trabalho,Apenas 1 trabalho,dados_tracuateua,Grupo 2 — 3 censos,identity,lbfgs,True,0.3965644064775991,2030,90.75707476016616
Tracuateua,dados_tracuateua__apenas_1_trabalho,Apenas 1 trabalho,dados_tracuateua,Grupo 2 — 3 censos,identity,lbfgs,True,0.3965644064775991,2040,89.11421295089093
Tracuateua,dados_tracuateua__casais_com_filhos,Casais com filhos,dados_tracuateua,Grupo 2 — 3 censos,identity,lbfgs,True,1.5557426038630098,2030,42.321677265735545
Tracuateua,dados_tracuateua__casais_com_filhos,Casais com filhos,dados_tracuateua,Grupo 2 — 3 censos,identity,lbfgs,True,1.5557426038630098,2040,33.07442133485249
Tracuateua,dados_tracuateua__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_tracuateua,Grupo 2 — 3 censos,logistic,sgd,True,0.330182371008411,2030,8.534141290141632
