municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Trairão,dados_trairao__2_trabalhos,2 trabalhos,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,1.0440345348976938,2030,3.774474633992478
Trairão,dados_trairao__2_trabalhos,2 trabalhos,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,1.0440345348976938,2040,3.771932523351341
Trairão,dados_trairao__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_trairao,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Trairão,dados_trairao__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_trairao,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Trairão,dados_trairao__anos_de_estudo_media,Anos de Estudo (Média),dados_trairao,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341959,2030,8.421460816733447
Trairão,dados_trairao__anos_de_estudo_media,Anos de Estudo (Média),dados_trairao,Grupo 2 — 3 censos,identity,adam,True,0.10608236340341959,2040,10.04966415250405
Trairão,dados_trairao__apenas_1_trabalho,Apenas 1 trabalho,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,1.1226185478916666,2030,95.73560130660474
Trairão,dados_trairao__apenas_1_trabalho,Apenas 1 trabalho,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,1.1226185478916666,2040,95.73113799538807
Trairão,dados_trairao__casais_com_filhos,Casais com filhos,dados_trairao,Grupo 2 — 3 censos,identity,lbfgs,True,0.976149655754476,2030,36.18215353799397
Trairão,dados_trairao__casais_com_filhos,Casais com filhos,dados_trairao,Grupo 2 — 3 censos,identity,lbfgs,True,0.976149655754476,2040,26.37996743305313
Trairão,dados_trairao__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,0.9575306056808826,2030,7.569677326996134
Trairão,dados_trairao__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_trairao,Grupo 2 — 3 censos,logistic,sgd,True,0.9575306056808826,2040,7.5656780101947705
Trairão,dados_trairao__casais_sem_filhos,Casais sem filhos,dados_trairao,Grupo 2 — 3 censos,identity,adam,True,0.9899992107931203,2030,18.09589015465559
