municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Tucumã,dados_tucuma__anos_de_estudo_media,Anos de Estudo (Média),dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3285537549081279,2030,9.122071542828277
Tucumã,dados_tucuma__anos_de_estudo_media,Anos de Estudo (Média),dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3285537549081279,2040,9.450374364033403
Tucumã,dados_tucuma__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_tucuma,Grupo 1 — 4 censos,tanh,adam,True,19.08286415204754,2030,288.7717020495861
Tucumã,dados_tucuma__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_tucuma,Grupo 1 — 4 censos,tanh,adam,True,19.08286415204754,2040,291.31150177598215
Tucumã,dados_tucuma__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tucuma,Grupo 1 — 4 censos,relu,lbfgs,True,0.5122356324285738,2030,15.485099633873535
Tucumã,dados_tucuma__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tucuma,Grupo 1 — 4 censos,relu,lbfgs,True,0.5122356324285738,2040,18.78641299544529
Tucumã,dados_tucuma__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3207603473732752,2030,8.681057507733978
Tucumã,dados_tucuma__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3207603473732752,2040,8.979613965214362
Tucumã,dados_tucuma__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3472174093990603,2030,9.52987505692148
Tucumã,dados_tucuma__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tucuma,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3472174093990603,2040,9.863145423663962
Tucumã,dados_tucuma__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_tucuma,Grupo 1 — 4 censos,relu,adam,True,0.14292977795932826,2030,2.6464652089271365
