municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Tucuruí,dados_tucurui__anos_de_estudo_media,Anos de Estudo (Média),dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3721432361003887,2030,10.15000898872558
Tucuruí,dados_tucurui__anos_de_estudo_media,Anos de Estudo (Média),dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3721432361003887,2040,10.559039147669072
Tucuruí,dados_tucurui__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,15.375816709308843,2030,324.6467456015135
Tucuruí,dados_tucurui__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,15.375816709308843,2040,364.6207450972293
Tucuruí,dados_tucurui__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.23829851384859113,2030,38.60803209965559
Tucuruí,dados_tucurui__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.23829851384859113,2040,44.86013384193851
Tucuruí,dados_tucurui__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.4017935476741622,2030,9.585636427929957
Tucuruí,dados_tucurui__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.4017935476741622,2040,9.928829934240987
Tucuruí,dados_tucurui__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3682327386314017,2030,10.640765066278718
Tucuruí,dados_tucurui__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3682327386314017,2040,11.013806301308588
Tucuruí,dados_tucurui__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.09178545572890073,2030,2.082828982847625
Tucuruí,dados_tucurui__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.09178545572890073,2040,1.3140822095362514
Tucuruí,dados_tucurui__populacao_total,População Total,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,6.989744450281876,2030,87.87801456404728
Tucuruí,dados_tucurui__populacao_total,População Total,dados_tucurui,Grupo 1 — 4 censos,logistic,lbfgs,True,6.989744450281876,2040,86.15691037861984
Tucuruí,dados_tucurui__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_tucurui,Grupo 1 — 4 censos,relu,adam,True,2.2286670579015997,2030,97.49277537590102
Tucuruí,dados_tucurui__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_tucurui,Grupo 1 — 4 censos,relu,adam,True,2.2286670579015997,2040,99.85380809142268
Tucuruí,dados_tucurui__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.2267907744846589,2030,38.93266041438653
Tucuruí,dados_tucurui__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_tucurui,Grupo 1 — 4 censos,identity,adam,True,0.2267907744846589,2040,45.224722936763754
Tucuruí,dados_tucurui__2_trabalhos,2 trabalhos,dados_tucurui,Grupo 2 — 3 censos,logistic,sgd,True,1.2121166631303542,2030,4.609119189925399
Tucuruí,dados_tucurui__2_trabalhos,2 trabalhos,dados_tucurui,Grupo 2 — 3 censos,logistic,sgd,True,1.2121166631303542,2040,4.606287705256267
