municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Uruará,dados_uruara__anos_de_estudo_media,Anos de Estudo (Média),dados_uruara,Grupo 1 — 4 censos,identity,adam,True,0.32160754663555324,2030,9.061942361809429
Uruará,dados_uruara__anos_de_estudo_media,Anos de Estudo (Média),dados_uruara,Grupo 1 — 4 censos,identity,adam,True,0.32160754663555324,2040,10.846636996362925
Uruará,dados_uruara__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,11.417629518235906,2030,325.0140363260965
Uruará,dados_uruara__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,11.417629518235906,2040,363.1658680189527
Uruará,dados_uruara__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,0.18282463055831943,2030,16.697975562292292
Uruará,dados_uruara__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,0.18282463055831943,2040,19.24879389014483
Uruará,dados_uruara__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_uruara,Grupo 1 — 4 censos,identity,adam,True,0.2981757253577759,2030,8.576666108971796
Uruará,dados_uruara__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_uruara,Grupo 1 — 4 censos,identity,adam,True,0.2981757253577759,2040,10.29537281733943
Uruará,dados_uruara__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,0.34105257107996,2030,8.356969022385714
Uruará,dados_uruara__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,0.34105257107996,2040,8.628976344593415
Uruará,dados_uruara__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,0.1181361645715906,2030,2.603748681475595
Uruará,dados_uruara__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,0.1181361645715906,2040,2.420251017642295
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,tanh,lbfgs,True,2.579634921667205,2030,43.360711414279606
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,tanh,lbfgs,True,2.579634921667205,2040,43.236900850065126
Uruará,dados_uruara__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,3.5803488986799525,2030,89.00137386513808
Uruará,dados_uruara__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_uruara,Grupo 1 — 4 censos,logistic,lbfgs,True,3.5803488986799525,2040,90.65255654996102
Uruará,dados_uruara__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,0.17748949347259435,2030,17.0229897450436
Uruará,dados_uruara__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_uruara,Grupo 1 — 4 censos,identity,lbfgs,True,0.17748949347259435,2040,19.611959813343987
Uruará,dados_uruara__2_trabalhos,2 trabalhos,dados_uruara,Grupo 2 — 3 censos,tanh,adam,True,1.9690749496180044,2030,7.647617744411423
Uruará,dados_uruara__2_trabalhos,2 trabalhos,dados_uruara,Grupo 2 — 3 censos,tanh,adam,True,1.9690749496180044,2040,7.805368081465106
Uruará,dados_uruara__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,0.16607974191940636,2030,0.5678808443278486
Uruará,dados_uruara__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,0.16607974191940636,2040,0.567399625849867
Uruará,dados_uruara__apenas_1_trabalho,Apenas 1 trabalho,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,2.2122184262433726,2030,94.33766983426138
Uruará,dados_uruara__apenas_1_trabalho,Apenas 1 trabalho,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,2.2122184262433726,2040,94.32888046332756
Uruará,dados_uruara__casais_com_filhos,Casais com filhos,dados_uruara,Grupo 2 — 3 censos,identity,lbfgs,True,0.7016062017387696,2030,38.73712705593703
Uruará,dados_uruara__casais_com_filhos,Casais com filhos,dados_uruara,Grupo 2 — 3 censos,identity,lbfgs,True,0.7016062017387696,2040,29.566811452144503
Uruará,dados_uruara__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,0.3024594469217128,2030,8.301473516205023
Uruará,dados_uruara__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_uruara,Grupo 2 — 3 censos,logistic,sgd,True,0.3024594469217128,2040,8.300462671823082
Uruará,dados_uruara__casais_sem_filhos,Casais sem filhos,dados_uruara,Grupo 2 — 3 censos,identity,adam,True,1.2789155032168145,2030,15.168950790873122
Uruará,dados_uruara__casais_sem_filhos,Casais sem filhos,dados_uruara,Grupo 2 — 3 censos,identity,adam,True,1.2789155032168145,2040,18.044054702903153
Uruará,dados_uruara__conta_propria,Conta própria,dados_uruara,Grupo 2 — 3 censos,tanh,lbfgs,True,2.8143747773723344,2030,12.964048824181377
Uruará,dados_uruara__conta_propria,Conta própria,dados_uruara,Grupo 2 — 3 censos,tanh,lbfgs,True,2.8143747773723344,2040,12.837293296760754
Uruará,dados_uruara__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_uruara,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353430476895005,2030,24.74593984749321
Uruará,dados_uruara__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_uruara,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353430476895005,2040,28.976767205680638
