municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Vitória do Xingu,dados_vitoria_do_xingu__2_trabalhos,2 trabalhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.0775134362688548,2030,4.441422985563048
Vitória do Xingu,dados_vitoria_do_xingu__2_trabalhos,2 trabalhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.0775134362688548,2040,4.43887873229578
Vitória do Xingu,dados_vitoria_do_xingu__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866915,2030,0.7266041579919953
Vitória do Xingu,dados_vitoria_do_xingu__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866915,2040,0.737142256163915
Vitória do Xingu,dados_vitoria_do_xingu__anos_de_estudo_media,Anos de Estudo (Média),dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.21255986963189052,2030,9.247991756515653
Vitória do Xingu,dados_vitoria_do_xingu__anos_de_estudo_media,Anos de Estudo (Média),dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.21255986963189052,2040,11.01034406398324
Vitória do Xingu,dados_vitoria_do_xingu__apenas_1_trabalho,Apenas 1 trabalho,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.1886548058737862,2030,95.0023656361365
Vitória do Xingu,dados_vitoria_do_xingu__apenas_1_trabalho,Apenas 1 trabalho,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.1886548058737862,2040,94.99764159937797
Vitória do Xingu,dados_vitoria_do_xingu__casais_com_filhos,Casais com filhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,lbfgs,True,1.4337229345397375,2030,34.923882336206404
Vitória do Xingu,dados_vitoria_do_xingu__casais_com_filhos,Casais com filhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,lbfgs,True,1.4337229345397375,2040,25.401905515947213
Vitória do Xingu,dados_vitoria_do_xingu__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.0565844521051602,2030,7.269568571751368
Vitória do Xingu,dados_vitoria_do_xingu__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_vitoria_do_xingu,Grupo 2 — 3 censos,logistic,sgd,True,1.0565844521051602,2040,7.265253849405311
Vitória do Xingu,dados_vitoria_do_xingu__casais_sem_filhos,Casais sem filhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.700951204094407,2030,19.72491887883439
Vitória do Xingu,dados_vitoria_do_xingu__casais_sem_filhos,Casais sem filhos,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.700951204094407,2040,23.539944657139355
Vitória do Xingu,dados_vitoria_do_xingu__conta_propria,Conta própria,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.05162732752238819,2030,2.4745852134769457
Vitória do Xingu,dados_vitoria_do_xingu__conta_propria,Conta própria,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.05162732752238819,2040,2.881241960239504
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_vitoria_do_xingu,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2030,39.630091475975
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_vitoria_do_xingu,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2040,39.3756492442494
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.2156905208230726,2030,6.564181721180243
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,0.2156905208230726,2040,7.995995552882837
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,1.0055866096115256,2030,27.61567305831809
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,1.0055866096115256,2040,32.61308611105599
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,1.3227799856216436,2030,28.337254054934295
Vitória do Xingu,dados_vitoria_do_xingu__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_vitoria_do_xingu,Grupo 2 — 3 censos,identity,adam,True,1.3227799856216436,2040,32.21081058111188
