municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Água Azul do Norte,dados_agua_azul_do_norte__2_trabalhos,2 trabalhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2030,3.7398857191725696
Água Azul do Norte,dados_agua_azul_do_norte__2_trabalhos,2 trabalhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.875608595976605,2040,3.737767721060969
Água Azul do Norte,dados_agua_azul_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Água Azul do Norte,dados_agua_azul_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Água Azul do Norte,dados_agua_azul_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.27346060788031085,2030,8.549615742458856
Água Azul do Norte,dados_agua_azul_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.27346060788031085,2040,10.175214892743226
Água Azul do Norte,dados_agua_azul_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.9575273623874665,2030,95.76853926413594
Água Azul do Norte,dados_agua_azul_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.9575273623874665,2040,95.76473504968207
Água Azul do Norte,dados_agua_azul_do_norte__casais_com_filhos,Casais com filhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,lbfgs,True,0.5948389108847275,2030,36.364046509141716
Água Azul do Norte,dados_agua_azul_do_norte__casais_com_filhos,Casais com filhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,lbfgs,True,0.5948389108847275,2040,26.828348419763714
Água Azul do Norte,dados_agua_azul_do_norte__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,1.0235668636630033,2030,7.436412331420504
Água Azul do Norte,dados_agua_azul_do_norte__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_agua_azul_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,1.0235668636630033,2040,7.432171602957634
Água Azul do Norte,dados_agua_azul_do_norte__casais_sem_filhos,Casais sem filhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,1.06609220503489,2030,18.519480281138218
Água Azul do Norte,dados_agua_azul_do_norte__casais_sem_filhos,Casais sem filhos,dados_agua_azul_do_norte,Grupo 2 — 3 censos,identity,adam,True,1.06609220503489,2040,22.159980666561545
