municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Óbidos,dados_obidos__anos_de_estudo_media,Anos de Estudo (Média),dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.21985219584017024,2030,8.39012745913558
Óbidos,dados_obidos__anos_de_estudo_media,Anos de Estudo (Média),dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.21985219584017024,2040,10.031978855776483
Óbidos,dados_obidos__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_obidos,Grupo 1 — 4 censos,tanh,adam,True,13.54244862314441,2030,245.86788100361494
Óbidos,dados_obidos__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_obidos,Grupo 1 — 4 censos,tanh,adam,True,13.54244862314441,2040,247.79724496621745
Óbidos,dados_obidos__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.14190537895701372,2030,17.668589695607196
Óbidos,dados_obidos__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.14190537895701372,2040,20.74665942675334
Óbidos,dados_obidos__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.19643143432436289,2030,7.904892493193691
Óbidos,dados_obidos__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.19643143432436289,2040,9.480792514473627
Óbidos,dados_obidos__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.24738384325931417,2030,8.875393814583486
Óbidos,dados_obidos__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_obidos,Grupo 1 — 4 censos,identity,adam,True,0.24738384325931417,2040,10.583224141829806
Óbidos,dados_obidos__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_obidos,Grupo 1 — 4 censos,identity,lbfgs,True,0.15661632076097842,2030,2.3856745933913373
Óbidos,dados_obidos__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_obidos,Grupo 1 — 4 censos,identity,lbfgs,True,0.15661632076097842,2040,1.534424049025163
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,relu,adam,True,1.0786444139850957,2030,53.430841398215996
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,relu,adam,True,1.0786444139850957,2040,54.852351237215
Óbidos,dados_obidos__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_obidos,Grupo 1 — 4 censos,logistic,lbfgs,True,2.2447079312153058,2030,87.54359596801851
