indicador_id,indicador_nome,grupo_censo,ano,valor,unidade_medida
populacao_total,População Total,4 Censos,1991,1244682.0,Habitantes
populacao_total,População Total,4 Censos,2000,1280614.0,Habitantes
populacao_total,População Total,4 Censos,2010,1393399.0,Habitantes
populacao_total,População Total,4 Censos,2022,1303389.0,Habitantes
rendimento_percapita,Rendimento Mensal per capita,4 Censos,1991,250.5,Rendimento (R$)
rendimento_percapita,Rendimento Mensal per capita,4 Censos,2000,420.1,Rendimento (R$)
rendimento_percapita,Rendimento Mensal per capita,4 Censos,2010,850.3,Rendimento (R$)
rendimento_percapita,Rendimento Mensal per capita,4 Censos,2022,1850.0,Rendimento (R$)
idhm_educacao,IDHM Educação,3 Censos,1991,0.413,Índice
idhm_educacao,IDHM Educação,3 Censos,2000,0.584,Índice
idhm_educacao,IDHM Educação,3 Censos,2010,0.715,Índice
populacao_urbana,População Urbana,3 Censos,2000,1271615.0,Habitantes
populacao_urbana,População Urbana,3 Censos,2010,1381475.0,Habitantes
populacao_urbana,População Urbana,3 Censos,2022,1286217.0,Habitantes
populacao_rural,População Rural,3 Censos,2000,8.999,Habitantes
populacao_rural,População Rural,3 Censos,2010,11.924,Habitantes
populacao_rural,População Rural,3 Censos,2022,17.172,Habitantes
moradores_por_domicilio,Média de Moradores,2 Censos,2010,3.52,Moradores por Lar
moradores_por_domicilio,Média de Moradores,2 Censos,2022,3.0,Moradores por Lar
total_domicilios,Total de Domicílios,2 Censos,2010,434.341,Domicílios
total_domicilios,Total de Domicílios,2 Censos,2022,528.989,Domicílios
populacao_parda,População Parda,2 Censos,2010,894.275,Habitantes
populacao_parda,População Parda,2 Censos,2022,831.636,Habitantes
populacao_preta,População Preta,2 Censos,2010,96.953,Habitantes
populacao_preta,População Preta,2 Censos,2022,153.946,Habitantes
populacao_amarela,População Amarela,2 Censos,2010,16.673,Habitantes
populacao_amarela,População Amarela,2 Censos,2022,2.051,Habitantes
populacao_indigena,População Indígena,2 Censos,2010,3.334,Pessoas
populacao_indigena,População Indígena,2 Censos,2022,4.887,Pessoas
